框架,模型,gap（%）,GP 带来的改进（百分点）,胜,平,负
AS,不使用 GP,3.0900520891208423,0.0,0,32,0
AS,第一个 GP 表达式,1.4783444089401043,1.6117076801807382,32,0,0
AS,第二个 GP 表达式,1.5104217121315424,1.5796303769893,32,0,0
AS,第三个 GP 表达式,1.402995021147682,1.6870570679731602,32,0,0
AS,三个 GP 表达式均值,1.463920380739776,1.6261317083810662,32,0,0
MMAS,不使用 GP,0.09628131908665724,0.0,0,32,0
MMAS,第一个 GP 表达式,0.1166652699216214,-0.020383950834964165,7,4,21
MMAS,第二个 GP 表达式,0.1117645904774961,-0.015483271390838854,10,6,16
MMAS,第三个 GP 表达式,0.11585467063642121,-0.019573351549763973,10,5,17
MMAS,三个 GP 表达式均值,0.11476151034517956,-0.018480191258522332,6,6,20
