模型,指标,关闭历史强化后的变化,点态区间下限,点态区间上限
不使用 GP,实际强化路径的平均 gap（%）,1.3522651970340482,1.0665272749825214,1.644977756366447
三个 GP 表达式均值,实际强化路径的平均 gap（%）,0.17083823390234545,0.148717038871984,0.19505806981559015
不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,-0.05457820545390582,-0.05843554292476579,-0.0507698042523212
三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,-0.024655005180490578,-0.026917112186541248,-0.022389740290116998
不使用 GP,强化路径年龄（轮）,-444.43702999999994,-484.433185,-406.49464662500003
三个 GP 表达式均值,强化路径年龄（轮）,-451.7757645833333,-479.39672340625,-425.73713876041666
不使用 GP,用于历史来源的预算比例,-0.7569075000000001,-0.7611452812499999,-0.7525299687499999
三个 GP 表达式均值,用于历史来源的预算比例,-0.7439358333333332,-0.7478783541666666,-0.7399631875
不使用 GP,构造路径平均 gap（%）,7.132059699107987,5.677005338029395,8.615854526057095
三个 GP 表达式均值,构造路径平均 gap（%）,0.11942760684466952,0.014230413749416845,0.23301970786116133
不使用 GP,2-opt 后路径平均 gap（%）,1.9519421597265483,1.5647346293700464,2.3457776612641625
三个 GP 表达式均值,2-opt 后路径平均 gap（%）,0.1507042859927476,0.12176875278224349,0.1836587796832834
不使用 GP,构造路径最优 gap（%）,6.214559326902071,4.901337205623469,7.555617502183282
三个 GP 表达式均值,构造路径最优 gap（%）,0.12466413990293591,0.04751772607459246,0.2068655929854206
不使用 GP,2-opt 后本轮最优 gap（%）,1.2976869915801426,1.0151843446373319,1.5871521878137413
三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,0.14618322872185496,0.1254781112768335,0.16898087690428923
不使用 GP,构造路径较优七条平均 gap（%）,7.1151395823507535,5.661976981004188,8.591668169813282
三个 GP 表达式均值,构造路径较优七条平均 gap（%）,0.1249158187814294,0.029292127933264175,0.22652468557468583
不使用 GP,2-opt 后较优七条平均 gap（%）,1.588772296946589,1.2591696164957809,1.9256006000362225
三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,0.15035564212543273,0.12685957873797682,0.1766814416961487
不使用 GP,同轮同来源内更新树输出的标准差,0.0,0.0,0.0
三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.006289765598512732,0.002008237487520268,0.010864977763712284
不使用 GP,更新树输出饱和比例,0.0,0.0,0.0
三个 GP 表达式均值,更新树输出饱和比例,0.009224924999999991,0.005903366791666654,0.01270667118749998
不使用 GP,2-opt 平均改进（百分点）,5.180117622222863,4.107087415194238,6.271114439660236
三个 GP 表达式均值,2-opt 平均改进（百分点）,-0.03127679403430497,-0.11156524481563865,0.053241569249704745
不使用 GP,同一路径经 2-opt 后的边保留率,-0.0651898815625,-0.07894769496679686,-0.05169831691796875
三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,-0.00018026726562499922,-0.0011306659420572893,0.0007296977975260421
不使用 GP,每百轮改进全局最优的次数,-0.36,-0.45063125000000004,-0.27487187500000004
三个 GP 表达式均值,每百轮改进全局最优的次数,-0.11408333333333333,-0.13908333333333334,-0.08891562500000001
不使用 GP,信息素下界触发比例,-0.023861786499999905,-0.03052975703437489,-0.017369312990624924
三个 GP 表达式均值,信息素下界触发比例,0.0029153501666666784,0.0020770673093750145,0.0038108387000000093
不使用 GP,每百轮重启次数,-0.08825,-0.09975,-0.076625
三个 GP 表达式均值,每百轮重启次数,-0.0195,-0.02258333333333333,-0.016333333333333335
不使用 GP,每轮硬上界裁剪次数,0.0,0.0,0.0
三个 GP 表达式均值,每轮硬上界裁剪次数,0.0,0.0,0.0
不使用 GP,强化来源与本轮最优路径的边重合率,0.027803420398009954,0.026695146144278606,0.028930985696517416
三个 GP 表达式均值,强化来源与本轮最优路径的边重合率,0.017379104477611942,0.016382994921227197,0.018368795605306798
不使用 GP,强化来源与历史全局最优路径的边重合率,-0.07504533582089551,-0.09001131996268656,-0.06069674751243781
三个 GP 表达式均值,强化来源与历史全局最优路径的边重合率,-0.03541446932006634,-0.038539198797678274,-0.03230138111525705
不使用 GP,与本轮最优路径完全相同的来源预算比例,0.17882462686567163,0.17325870646766167,0.1843905472636816
三个 GP 表达式均值,与本轮最优路径完全相同的来源预算比例,0.13865049751243783,0.13362328980099505,0.1435325974295191
不使用 GP,与历史全局最优路径完全相同的来源预算比例,-0.4699937810945274,-0.4932213930348259,-0.4468275808457711
三个 GP 表达式均值,与历史全局最优路径完全相同的来源预算比例,-0.46011608623548916,-0.4735284514925373,-0.44627824419568823
不使用 GP,2-opt 后不同路径数量,6.256125621890547,5.301106965174129,7.1916495646766165
三个 GP 表达式均值,2-opt 后不同路径数量,0.33698175787728024,0.16826699834162517,0.5201419983416251
不使用 GP,构造路径之间的边不一致率,0.09854378222295779,0.07836610854811127,0.11917546305142633
三个 GP 表达式均值,构造路径之间的边不一致率,0.0020225951475819825,0.0009954077019138179,0.0031384093801406277
不使用 GP,2-opt 后路径之间的边不一致率,0.09185671278185684,0.07339267093213367,0.1105980955573694
三个 GP 表达式均值,2-opt 后路径之间的边不一致率,0.0020521952569143532,0.0008466709515677663,0.0033832723970453516
不使用 GP,2-opt 后边频率的有效边数,59.36906095154808,46.843599699696604,72.17069846887064
三个 GP 表达式均值,2-opt 后边频率的有效边数,1.1337982902380355,0.4082240929235372,1.9367447993824356
不使用 GP,同来源同预算下 GP 沉积相对变化量,1.7263872436699832e-11,-8.631467466922365e-10,8.93952490282138e-10
三个 GP 表达式均值,同来源同预算下 GP 沉积相对变化量,0.001724944250732509,0.0010446810321079853,0.00248556833420724
不使用 GP,总沉积的有效边数,-3.7117904106870933e-16,-1.0651336087315243e-14,9.205593722352616e-15
三个 GP 表达式均值,总沉积的有效边数,-0.23709063904254735,-0.3328176259796878,-0.15135861766735237
不使用 GP,关闭构造树后的选择概率差,-2.556120447959413e-10,-3.353066321798708e-10,-1.739501477345862e-10
三个 GP 表达式均值,关闭构造树后的选择概率差,-1.1501240868020906e-05,-2.325057336741166e-05,6.944209854980139e-07
不使用 GP,关闭构造树后最大概率城市改变比例,0.0,0.0,0.0
三个 GP 表达式均值,关闭构造树后最大概率城市改变比例,0.0,0.0,0.0
不使用 GP,按可行城市数归一化的选择熵,0.04221384346808403,0.03330193394929144,0.05133714673319962
三个 GP 表达式均值,按可行城市数归一化的选择熵,0.0007403970578287133,0.00031689028483678183,0.0011983379005879467
不使用 GP,候选耗尽后贪心回退比例,0.004877953980099502,0.0038129664179104477,0.005939054726368159
三个 GP 表达式均值,候选耗尽后贪心回退比例,0.00014705120232172468,4.016376451077943e-05,0.0002584732587064676
不使用 GP,同一来源内残差乘数的标准差,0.0,0.0,0.0
三个 GP 表达式均值,同一来源内残差乘数的标准差,0.00350570931767142,0.0021447701266084245,0.005007440736194393
不使用 GP,历史来源且不同于本轮最优路径的预算比例,-0.17882462686567163,-0.1843905472636816,-0.17325870646766167
三个 GP 表达式均值,历史来源且不同于本轮最优路径的预算比例,-0.1386504975124378,-0.14353259742951907,-0.133623289800995
