配置,模型,指标,均值
完整 MMAS,不使用 GP,实际强化路径的平均 gap（%）,1.0792306468998538
完整 MMAS,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.05457820545390582
完整 MMAS,不使用 GP,强化路径年龄（轮）,444.43703000000005
完整 MMAS,不使用 GP,用于历史来源的预算比例,0.7569075000000001
完整 MMAS,不使用 GP,构造路径平均 gap（%）,10.36414159123912
完整 MMAS,不使用 GP,2-opt 后路径平均 gap（%）,2.05635464420454
完整 MMAS,不使用 GP,构造路径最优 gap（%）,5.04920671705414
完整 MMAS,不使用 GP,2-opt 后本轮最优 gap（%）,1.1338088523537595
完整 MMAS,不使用 GP,构造路径较优七条平均 gap（%）,5.9295795265096185
完整 MMAS,不使用 GP,2-opt 后较优七条平均 gap（%）,1.3282027964820255
完整 MMAS,不使用 GP,同轮同来源内更新树输出的标准差,0.0
完整 MMAS,不使用 GP,更新树输出饱和比例,0.0
完整 MMAS,不使用 GP,2-opt 平均改进（百分点）,8.307787068427361
完整 MMAS,不使用 GP,同一路径经 2-opt 后的边保留率,0.9328751075781251
完整 MMAS,不使用 GP,每百轮改进全局最优的次数,1.090375
完整 MMAS,不使用 GP,信息素下界触发比例,0.8389695866249999
完整 MMAS,不使用 GP,每百轮重启次数,0.13825
完整 MMAS,不使用 GP,每轮硬上界裁剪次数,0.0
完整 MMAS,第一个 GP 表达式,实际强化路径的平均 gap（%）,0.840487223424005
完整 MMAS,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.02719218841508922
完整 MMAS,第一个 GP 表达式,强化路径年龄（轮）,454.72752
完整 MMAS,第一个 GP 表达式,用于历史来源的预算比例,0.7458625
完整 MMAS,第一个 GP 表达式,构造路径平均 gap（%）,8.759311687329143
完整 MMAS,第一个 GP 表达式,2-opt 后路径平均 gap（%）,1.66015531249115
完整 MMAS,第一个 GP 表达式,构造路径最优 gap（%）,3.649213442666992
完整 MMAS,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,0.8676794118390943
完整 MMAS,第一个 GP 表达式,构造路径较优七条平均 gap（%）,4.341222697762132
完整 MMAS,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.005249549422059
完整 MMAS,第一个 GP 表达式,同轮同来源内更新树输出的标准差,0.1498817938075253
完整 MMAS,第一个 GP 表达式,更新树输出饱和比例,0.18960014249999999
完整 MMAS,第一个 GP 表达式,2-opt 平均改进（百分点）,7.09915672666695
完整 MMAS,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,0.947333299921875
完整 MMAS,第一个 GP 表达式,每百轮改进全局最优的次数,1.054125
完整 MMAS,第一个 GP 表达式,信息素下界触发比例,0.8447790349999998
完整 MMAS,第一个 GP 表达式,每百轮重启次数,0.144125
完整 MMAS,第一个 GP 表达式,每轮硬上界裁剪次数,0.0
完整 MMAS,第二个 GP 表达式,实际强化路径的平均 gap（%）,0.736698322541717
完整 MMAS,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.017593717088362715
完整 MMAS,第二个 GP 表达式,强化路径年龄（轮）,448.42396125
完整 MMAS,第二个 GP 表达式,用于历史来源的预算比例,0.73816375
完整 MMAS,第二个 GP 表达式,构造路径平均 gap（%）,6.318569216556849
完整 MMAS,第二个 GP 表达式,2-opt 后路径平均 gap（%）,1.3107070150987743
完整 MMAS,第二个 GP 表达式,构造路径最优 gap（%）,2.790013460029606
完整 MMAS,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,0.7542920396300794
完整 MMAS,第二个 GP 表达式,构造路径较优七条平均 gap（%）,3.2824144269733493
完整 MMAS,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.8606265367608879
完整 MMAS,第二个 GP 表达式,同轮同来源内更新树输出的标准差,0.11090442861236437
完整 MMAS,第二个 GP 表达式,更新树输出饱和比例,0.9245731225000001
完整 MMAS,第二个 GP 表达式,2-opt 平均改进（百分点）,5.007862470804466
完整 MMAS,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,0.96166685890625
完整 MMAS,第二个 GP 表达式,每百轮改进全局最优的次数,1.04975
完整 MMAS,第二个 GP 表达式,信息素下界触发比例,0.846228902625
完整 MMAS,第二个 GP 表达式,每百轮重启次数,0.149125
完整 MMAS,第二个 GP 表达式,每轮硬上界裁剪次数,0.0
完整 MMAS,第三个 GP 表达式,实际强化路径的平均 gap（%）,0.8604991682063473
