配置,模型,相对重启轮次,相对重启时最优 gap 的变化（百分点）,有观测实例数,有观测求解次数,重启事件数
完整 MMAS,不使用 GP,-100,0.0,32,160,1106
完整 MMAS,不使用 GP,-50,0.0,32,160,1106
完整 MMAS,不使用 GP,-25,0.0,32,160,1106
完整 MMAS,不使用 GP,0,0.0,32,160,1106
完整 MMAS,不使用 GP,25,0.0,32,160,1077
完整 MMAS,不使用 GP,50,0.0,32,160,1077
完整 MMAS,不使用 GP,100,0.0,32,160,1077
完整 MMAS,不使用 GP,500,-0.027630924114046572,32,160,970
完整 MMAS,第一个 GP 表达式,-100,0.0,32,160,1153
完整 MMAS,第一个 GP 表达式,-50,0.0,32,160,1153
完整 MMAS,第一个 GP 表达式,-25,0.0,32,160,1153
完整 MMAS,第一个 GP 表达式,0,0.0,32,160,1153
完整 MMAS,第一个 GP 表达式,25,0.0,32,160,1128
完整 MMAS,第一个 GP 表达式,50,0.0,32,160,1128
完整 MMAS,第一个 GP 表达式,100,-0.00040429870101197664,32,160,1128
完整 MMAS,第一个 GP 表达式,500,-0.02631979273753946,32,160,1034
完整 MMAS,第二个 GP 表达式,-100,0.0,32,160,1193
完整 MMAS,第二个 GP 表达式,-50,0.0,32,160,1193
完整 MMAS,第二个 GP 表达式,-25,0.0,32,160,1193
完整 MMAS,第二个 GP 表达式,0,0.0,32,160,1193
完整 MMAS,第二个 GP 表达式,25,0.0,32,160,1170
完整 MMAS,第二个 GP 表达式,50,0.0,32,160,1170
完整 MMAS,第二个 GP 表达式,100,-0.0021817180380940197,32,160,1170
完整 MMAS,第二个 GP 表达式,500,-0.032737847918434024,32,160,1062
完整 MMAS,第三个 GP 表达式,-100,0.0,32,160,1149
完整 MMAS,第三个 GP 表达式,-50,0.0,32,160,1149
完整 MMAS,第三个 GP 表达式,-25,0.0,32,160,1149
完整 MMAS,第三个 GP 表达式,0,0.0,32,160,1149
完整 MMAS,第三个 GP 表达式,25,0.0,32,160,1121
完整 MMAS,第三个 GP 表达式,50,0.0,32,160,1121
完整 MMAS,第三个 GP 表达式,100,-1.4066014301712176e-05,32,160,1121
完整 MMAS,第三个 GP 表达式,500,-0.024339359953091333,32,160,1031
仅关闭历史路径强化,不使用 GP,-100,0.0,26,116,400
仅关闭历史路径强化,不使用 GP,-50,0.0,26,116,400
仅关闭历史路径强化,不使用 GP,-25,0.0,26,116,400
仅关闭历史路径强化,不使用 GP,0,0.0,26,116,400
仅关闭历史路径强化,不使用 GP,25,0.0,26,116,392
仅关闭历史路径强化,不使用 GP,50,0.0,26,116,392
仅关闭历史路径强化,不使用 GP,100,0.0,26,116,392
仅关闭历史路径强化,不使用 GP,500,-0.003659793932481799,26,115,352
仅关闭历史路径强化,第一个 GP 表达式,-100,0.0,32,160,987
仅关闭历史路径强化,第一个 GP 表达式,-50,0.0,32,160,987
仅关闭历史路径强化,第一个 GP 表达式,-25,0.0,32,160,987
仅关闭历史路径强化,第一个 GP 表达式,0,0.0,32,160,987
仅关闭历史路径强化,第一个 GP 表达式,25,0.0,32,160,971
仅关闭历史路径强化,第一个 GP 表达式,50,0.0,32,160,971
仅关闭历史路径强化,第一个 GP 表达式,100,-0.00029079347049993217,32,160,971
仅关闭历史路径强化,第一个 GP 表达式,500,-0.0215510240065908,32,160,871
仅关闭历史路径强化,第二个 GP 表达式,-100,0.0,32,160,1073
仅关闭历史路径强化,第二个 GP 表达式,-50,0.0,32,160,1073
仅关闭历史路径强化,第二个 GP 表达式,-25,0.0,32,160,1073
仅关闭历史路径强化,第二个 GP 表达式,0,0.0,32,160,1073
仅关闭历史路径强化,第二个 GP 表达式,25,0.0,32,160,1051
仅关闭历史路径强化,第二个 GP 表达式,50,-0.0002383707367698921,32,160,1051
仅关闭历史路径强化,第二个 GP 表达式,100,-0.003106090277586198,32,160,1051
仅关闭历史路径强化,第二个 GP 表达式,500,-0.03255011650515517,32,160,959
仅关闭历史路径强化,第三个 GP 表达式,-100,0.0,32,160,967
仅关闭历史路径强化,第三个 GP 表达式,-50,0.0,32,160,967
仅关闭历史路径强化,第三个 GP 表达式,-25,0.0,32,160,967
仅关闭历史路径强化,第三个 GP 表达式,0,0.0,32,160,967
仅关闭历史路径强化,第三个 GP 表达式,25,0.0,32,160,951
仅关闭历史路径强化,第三个 GP 表达式,50,0.0,32,160,951
仅关闭历史路径强化,第三个 GP 表达式,100,-0.00043917479924255725,32,160,951
仅关闭历史路径强化,第三个 GP 表达式,500,-0.027225385823245667,32,160,875
仅关闭信息素下界保护,不使用 GP,-100,0.0,32,160,1278
仅关闭信息素下界保护,不使用 GP,-50,0.0,32,160,1278
仅关闭信息素下界保护,不使用 GP,-25,0.0,32,160,1278
仅关闭信息素下界保护,不使用 GP,0,0.0,32,160,1278
仅关闭信息素下界保护,不使用 GP,25,0.0,32,160,1268
仅关闭信息素下界保护,不使用 GP,50,0.0,32,160,1268
仅关闭信息素下界保护,不使用 GP,100,-0.0004689630595676916,32,160,1268
仅关闭信息素下界保护,不使用 GP,500,-0.05868173944809956,32,160,1150
仅关闭信息素下界保护,第一个 GP 表达式,-100,0.0,32,160,1307
仅关闭信息素下界保护,第一个 GP 表达式,-50,0.0,32,160,1307
仅关闭信息素下界保护,第一个 GP 表达式,-25,0.0,32,160,1307
