state_owner,continuation_iterations,instance,原生来源下 GP 增益（百分点）,仅本轮最优来源下 GP 增益（百分点）,移除历史来源后 GP 增益变化（百分点）,仅构造决策树的增益（百分点）,仅信息素更新树的增益（百分点）
不使用 GP 产生的状态,1,0,0.0020712687121272324,0.0020712687121272324,0.0,0.0020712687121272324,0.0
不使用 GP 产生的状态,1,1,0.024780196321010445,0.024780196321010445,0.0,0.024780196321010445,0.0
不使用 GP 产生的状态,1,2,0.000660038716653404,0.000660038716653404,0.0,0.000660038716653404,0.0
不使用 GP 产生的状态,1,3,0.010653443734575396,0.010653443734575396,0.0,0.010653443734575396,0.0
不使用 GP 产生的状态,1,4,-0.02115805709663825,-0.02115805709663825,0.0,-0.02115805709663825,0.0
不使用 GP 产生的状态,1,5,-0.01147394534195545,-0.01147394534195545,0.0,-0.01147394534195545,0.0
不使用 GP 产生的状态,1,6,0.023674255879954524,0.023674255879954524,0.0,0.023674255879954524,0.0
不使用 GP 产生的状态,1,7,0.05562676744267194,0.05562676744267194,0.0,0.05562676744267194,0.0
不使用 GP 产生的状态,25,0,0.1257228453184195,0.14361609169586645,0.01789324637744694,0.02185505042068681,0.06850629294529834
不使用 GP 产生的状态,25,1,0.2551186984856116,0.19031107452883148,-0.06480762395678014,0.07297230433956009,0.17578890992366214
不使用 GP 产生的状态,25,2,0.12309646546284225,0.16088136246977924,0.037784897006937004,0.056850716255362074,0.10718951081454922
不使用 GP 产生的状态,25,3,0.2031658558069403,0.21191968052782534,0.008753824720885027,0.03169271645942228,0.1483610726435954
不使用 GP 产生的状态,25,4,0.10834934608918424,0.20204042108133694,0.09369107499215268,0.03314987295792674,0.09362510400530608
不使用 GP 产生的状态,25,5,0.20178301899476564,0.18960452932851354,-0.012178489666252127,0.07543611616191621,0.16522141543065877
不使用 GP 产生的状态,25,6,0.1914480227234069,0.19339340090314625,0.0019453781797392807,0.06179655920958232,0.11344274086818677
不使用 GP 产生的状态,25,7,0.1889403502351783,0.21230670229846013,0.023366352063281793,0.07138305602282811,0.1662362649973918
不使用 GP 产生的状态,100,0,0.15491417380870345,0.3763598342823344,0.2214456604736309,0.004066608015664254,0.1460813377900387
不使用 GP 产生的状态,100,1,0.22874634320015164,0.3556161847217339,0.12686984152158226,0.08359897124843965,0.20636395889960651
不使用 GP 产生的状态,100,2,0.16476542815741368,0.43396736484569576,0.269201936688282,0.04819987210145875,0.14216724740838765
不使用 GP 产生的状态,100,3,0.21619769640068312,0.31172873226930936,0.09553103586862631,0.027243860087624007,0.15745721503502882
不使用 GP 产生的状态,100,4,0.20105414386936835,0.3191877982467356,0.11813365437736721,0.05204299923045217,0.2056574283767088
不使用 GP 产生的状态,100,5,0.12765711570919155,0.4098805845547979,0.2822234688456064,0.07072078720817873,0.10731004985395015
不使用 GP 产生的状态,100,6,0.2639785075177033,0.42471349878828685,0.16073499127058355,0.06789677322146238,0.26335265443219136
不使用 GP 产生的状态,100,7,0.1437923253746731,0.2954016726154383,0.15160934724076522,0.078716889042471,0.1277177712605024
不使用 GP 产生的状态,500,0,-0.021806881931056104,0.12617091274445322,0.1479777946755093,-0.009151909079929276,-0.002503836409742491
不使用 GP 产生的状态,500,1,0.0391819032124111,0.4129700469747444,0.37378814376233327,0.021254127928976647,0.04325476379343794
不使用 GP 产生的状态,500,2,-0.04058673901396573,0.07768625253608367,0.1182729915500494,-0.012660447483298294,-0.0348113350612734
不使用 GP 产生的状态,500,3,-0.03596156501042363,0.4684252627551011,0.5043868277655248,-0.03431483277816731,-0.04842475156538071
不使用 GP 产生的状态,500,4,-0.0028890036816428028,-0.037999440198061625,-0.03511043651641882,-0.0008409069202371574,0.02054272395628087
不使用 GP 产生的状态,500,5,-0.031936559657789146,0.5795493905574977,0.6114859502152868,-0.012765405436064324,-0.034559841045535944
不使用 GP 产生的状态,500,6,-0.020028108641410188,0.1985429893522683,0.21857109799367858,-0.0012292057339694888,-0.010567105080341145
不使用 GP 产生的状态,500,7,-0.02092757480310615,0.6595273268060967,0.680454901609203,-0.011454863396087178,-0.005186283533128896
各 GP 表达式自身产生的状态,1,0,0.002515936995121874,0.002515936995121874,0.0,0.002515936995121874,0.0
各 GP 表达式自身产生的状态,1,1,-0.01745315104296064,-0.01745315104296064,0.0,-0.01745315104296064,0.0
各 GP 表达式自身产生的状态,1,2,0.01106681457246124,0.01106681457246124,0.0,0.01106681457246124,0.0
各 GP 表达式自身产生的状态,1,3,-0.0003609934021100272,-0.0003609934021100272,0.0,-0.0003609934021100272,0.0
各 GP 表达式自身产生的状态,1,4,0.01793030054092646,0.01793030054092646,0.0,0.01793030054092646,0.0
各 GP 表达式自身产生的状态,1,5,0.01124853471578967,0.01124853471578967,0.0,0.01124853471578967,0.0
各 GP 表达式自身产生的状态,1,6,0.029178055888742678,0.029178055888742678,0.0,0.029178055888742678,0.0
各 GP 表达式自身产生的状态,1,7,0.018846080728769695,0.018846080728769695,0.0,0.018846080728769695,0.0
各 GP 表达式自身产生的状态,25,0,0.04684373961681647,0.0746388225316384,0.02779508291482193,0.043596741442630406,-0.018897653427440986
各 GP 表达式自身产生的状态,25,1,0.08474864173631463,0.08455212046331369,-0.00019652127300093966,0.010441507679500214,0.06078482929029584
各 GP 表达式自身产生的状态,25,2,0.05364287199237238,0.04796597802860709,-0.005676893963765291,0.02079434823146394,0.04872052375993793
各 GP 表达式自身产生的状态,25,3,0.07205160903592718,0.15123840864935884,0.07918679961343165,0.038874808590053204,0.03330264940969029
