state_owner,continuation_iterations,metric,mean,point_low,point_high,instances
不使用 GP 产生的状态,1,原生来源下 GP 增益（百分点）,0.010604246046049905,-0.004624797235711077,0.02707363086275194,8
不使用 GP 产生的状态,1,仅本轮最优来源下 GP 增益（百分点）,0.010604246046049905,-0.003942943834052772,0.02703502900991376,8
不使用 GP 产生的状态,1,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,仅构造决策树的增益（百分点）,0.010604246046049905,-0.004330323763352108,0.027202520029169862,8
不使用 GP 产生的状态,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,25,原生来源下 GP 增益（百分点）,0.1747030753895436,0.14158130888801018,0.2080054352802711,8
不使用 GP 产生的状态,25,仅本轮最优来源下 GP 增益（百分点）,0.1880091578542199,0.17107208576413224,0.20216559773148857,8
不使用 GP 产生的状态,25,移除历史来源后 GP 增益变化（百分点）,0.013306082464676308,-0.0157019168855062,0.04299272720319804,8
不使用 GP 产生的状态,25,仅构造决策树的增益（百分点）,0.05314204897841058,0.03914910014781845,0.06621445426001564,8
不使用 GP 产生的状态,25,仅信息素更新树的增益（百分点）,0.12979641395358105,0.103784489645831,0.15400148672106173,8
不使用 GP 产生的状态,100,原生来源下 GP 增益（百分点）,0.18763821675473602,0.1577967763510229,0.2187624695984402,8
不使用 GP 产生的状态,100,仅本轮最优来源下 GP 增益（百分点）,0.3658569587905415,0.3308295682171407,0.4006511981742506,8
不使用 GP 产生的状态,100,移除历史来源后 GP 增益变化（百分点）,0.17821874203580548,0.13490971611943225,0.22525122970418396,8
不使用 GP 产生的状态,100,仅构造决策树的增益（百分点）,0.05406084501946887,0.035660138073523,0.0706937775703282,8
不使用 GP 产生的状态,100,仅信息素更新树的增益（百分点）,0.1695134578820518,0.1377269037869955,0.20469795094620552,8
不使用 GP 产生的状态,500,原生来源下 GP 增益（百分点）,-0.016869316190872834,-0.030804192272676948,0.001393715667705787,8
不使用 GP 产生的状态,500,仅本轮最优来源下 GP 增益（百分点）,0.3106090926910229,0.14535675690185434,0.47838667780616306,8
不使用 GP 产生的状态,500,移除历史来源后 GP 增益变化（百分点）,0.32747840888189583,0.1640296268897387,0.49602097781976384,8
不使用 GP 产生的状态,500,仅构造决策树的增益（百分点）,-0.007645430362347048,-0.01773724390662219,0.0030886526016658225,8
不使用 GP 产生的状态,500,仅信息素更新树的增益（百分点）,-0.009031958118210472,-0.027746460805680384,0.011146021905958935,8
各 GP 表达式自身产生的状态,1,原生来源下 GP 增益（百分点）,0.009121447374592619,-0.00048217345567878357,0.017785282073884093,8
各 GP 表达式自身产生的状态,1,仅本轮最优来源下 GP 增益（百分点）,0.009121447374592619,-0.0004223412315712649,0.017850114618278266,8
各 GP 表达式自身产生的状态,1,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
各 GP 表达式自身产生的状态,1,仅构造决策树的增益（百分点）,0.009121447374592619,-0.00029516421171408436,0.01784955195381966,8
各 GP 表达式自身产生的状态,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
各 GP 表达式自身产生的状态,25,原生来源下 GP 增益（百分点）,0.08954616119646865,0.06373685480358861,0.12079648020012988,8
各 GP 表达式自身产生的状态,25,仅本轮最优来源下 GP 增益（百分点）,0.1004946901633307,0.07464017012560206,0.12907821399760944,8
各 GP 表达式自身产生的状态,25,移除历史来源后 GP 增益变化（百分点）,0.010948528966862058,-0.014426952329690046,0.03679863279177586,8
各 GP 表达式自身产生的状态,25,仅构造决策树的增益（百分点）,0.028160510323624217,0.019891882648082435,0.03575925600248492,8
各 GP 表达式自身产生的状态,25,仅信息素更新树的增益（百分点）,0.05175819492667588,0.020833800346523094,0.08415519586163708,8
各 GP 表达式自身产生的状态,100,原生来源下 GP 增益（百分点）,0.19570585036257587,0.17043779603702772,0.21657101900887016,8
各 GP 表达式自身产生的状态,100,仅本轮最优来源下 GP 增益（百分点）,0.2658585530440573,0.23419578937231422,0.29511675687739564,8
各 GP 表达式自身产生的状态,100,移除历史来源后 GP 增益变化（百分点）,0.07015270268148148,0.03479961239995813,0.10207170047840647,8
各 GP 表达式自身产生的状态,100,仅构造决策树的增益（百分点）,0.052009738021350185,0.041366262884382506,0.06322770963442079,8
各 GP 表达式自身产生的状态,100,仅信息素更新树的增益（百分点）,0.1696332853698338,0.14366282641486644,0.19084836517414844,8
各 GP 表达式自身产生的状态,500,原生来源下 GP 增益（百分点）,0.0017793561236719656,-0.00854116830482686,0.013111254610763987,8
各 GP 表达式自身产生的状态,500,仅本轮最优来源下 GP 增益（百分点）,0.24302543946166377,0.12159014757347268,0.3604236874188453,8
各 GP 表达式自身产生的状态,500,移除历史来源后 GP 增益变化（百分点）,0.2412460833379918,0.1185629655652787,0.36210637096391457,8
各 GP 表达式自身产生的状态,500,仅构造决策树的增益（百分点）,-0.00211218956766316,-0.004859027793138414,0.0009450962273404315,8
各 GP 表达式自身产生的状态,500,仅信息素更新树的增益（百分点）,0.008817618552608729,0.0015068275966524096,0.016633349945683953,8
