state_owner,snapshot_iteration,continuation_iterations,instance,原生来源下 GP 增益（百分点）,仅本轮最优来源下 GP 增益（百分点）,移除历史来源后 GP 增益变化（百分点）,仅构造决策树的增益（百分点）,仅信息素更新树的增益（百分点）
不使用 GP 产生的状态,1,1,0,0.0253236341365648,0.0253236341365648,0.0,0.0253236341365648,0.0
不使用 GP 产生的状态,1,1,1,0.14867991547677187,0.14867991547677187,0.0,0.14867991547677187,0.0
不使用 GP 产生的状态,1,1,2,0.003960232299920424,0.003960232299920424,0.0,0.003960232299920424,0.0
不使用 GP 产生的状态,1,1,3,0.06392066240745237,0.06392066240745237,0.0,0.06392066240745237,0.0
不使用 GP 产生的状态,1,1,4,-0.16454917500902727,-0.16454917500902727,0.0,-0.16454917500902727,0.0
不使用 GP 产生的状态,1,1,5,-0.07393991229548301,-0.07393991229548301,0.0,-0.07393991229548301,0.0
不使用 GP 产生的状态,1,1,6,0.1241792832602308,0.1241792832602308,0.0,0.1241792832602308,0.0
不使用 GP 产生的状态,1,1,7,0.23646528676245135,0.23646528676245135,0.0,0.23646528676245135,0.0
不使用 GP 产生的状态,1,25,0,0.22641122990990267,0.2621759063276762,0.035764676417773505,0.09287086379136728,0.029561136792984517
不使用 GP 产生的状态,1,25,1,0.9351832990109124,0.8372159715626203,-0.09796732744829198,0.3078545719114947,0.5907151727553369
不使用 GP 产生的状态,1,25,2,0.4932321095946558,0.5898027431939814,0.09657063359932562,0.1642868515397152,0.36368241172329224
不使用 GP 产生的状态,1,25,3,0.771583604968145,0.771583604968145,0.0,0.20895214922758884,0.5828470862587087
不使用 GP 产生的状态,1,25,4,0.5617177481247756,0.706917479271205,0.14519973114642937,0.2216296398927965,0.40516925385925984
不使用 GP 产生的状态,1,25,5,0.8847033861302823,0.8955649114908069,0.010861525360524501,0.30746140081853784,0.7935211943434433
不使用 GP 产生的状态,1,25,6,0.641655548819727,0.6108269417099965,-0.030828607109730417,0.28616227355812274,0.36820310844486326
不使用 GP 产生的状态,1,25,7,0.6896501003704437,0.8434572812989292,0.15380718092848542,0.2710541447987053,0.6990655272399134
不使用 GP 产生的状态,1,100,0,0.8269213088113483,1.603031085164207,0.7761097763528587,0.08314976063500525,0.7289043560883643
不使用 GP 产生的状态,1,100,1,1.3110523264870995,1.1311091167624534,-0.17994320972464597,0.4521765124349579,1.1851040729481126
不使用 GP 产生的状态,1,100,2,1.0489333558902223,1.490177545096547,0.4412441892063246,0.2764666779602656,0.9043907027179796
不使用 GP 产生的状态,1,100,3,1.2776174073154776,0.9279949790357388,-0.3496224282797389,0.21041012963469966,0.964501789753521
不使用 GP 产生的状态,1,100,4,1.1789747386101033,1.7843030349756834,0.6053282963655803,0.312864227109006,1.1700324918882263
不使用 GP 产生的状态,1,100,5,0.7007565546245105,1.2978791037999482,0.5971225491754377,0.3864465909553299,0.5613952916102141
不使用 GP 产生的状态,1,100,6,1.2633213064747666,1.566172268755602,0.30285096228083547,0.322903556821356,1.2710762149859
不使用 GP 产生的状态,1,100,7,0.9547489908911955,0.5901170583650793,-0.36463193252611603,0.3712112789226711,0.8310873894722083
不使用 GP 产生的状态,1,500,0,-0.12953010175091872,0.4518837104634842,0.5814138122144029,-0.04697222320099294,-0.06906845504893856
不使用 GP 产生的状态,1,500,1,0.14625520638221878,1.1527143470186612,1.0064591406364423,0.07161907293154407,0.1934646040592606
不使用 GP 产生的状态,1,500,2,-0.09986585500697408,0.07374758171979263,0.1736134367267667,-0.017696912881905016,-0.08369526090297669
不使用 GP 产生的状态,1,500,3,-0.04549797281321815,1.4626465674789029,1.508144540292121,-0.05818753474540935,-0.09577786483534467
不使用 GP 产生的状态,1,500,4,-0.04097426919406683,-0.1727995948685853,-0.13182532567451843,-0.02266899220534234,0.02241382934716639
不使用 GP 产生的状态,1,500,5,-0.006923030203896828,1.9324829308872138,1.9394059610911105,-0.012954663168921835,-0.04497279715233788
不使用 GP 产生的状态,1,500,6,-0.1562274548012462,1.1397498621625572,1.2959773169638034,0.003868580907709054,-0.12987952726556765
不使用 GP 产生的状态,1,500,7,0.004621700907827788,2.0858774194032135,2.081255718495386,-0.013852346501145677,0.021289108456552026
不使用 GP 产生的状态,100,1,0,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,100,1,1,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,100,1,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,100,1,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,100,1,4,0.037600832429197775,0.037600832429197775,0.0,0.037600832429197775,0.0
不使用 GP 产生的状态,100,1,5,0.005096240243750315,0.005096240243750315,0.0,0.005096240243750315,0.0
不使用 GP 产生的状态,100,1,6,0.017866252019496345,0.017866252019496345,0.0,0.017866252019496345,0.0
不使用 GP 产生的状态,100,1,7,0.09863100370614121,0.09863100370614121,0.0,0.09863100370614121,0.0
不使用 GP 产生的状态,100,25,0,0.5411170260724636,0.6171341277842924,0.0760171017118289,0.061309040553402125,0.37161820313000615
不使用 GP 产生的状态,100,25,1,0.5993705250959547,0.2930258425367772,-0.30634468255917746,0.13382088731906322,0.4640182867866358
不使用 GP 产生的状态,100,25,2,0.27821052657354006,0.4144352678376478,0.13622474126410772,0.18556517062487832,0.3156288313020851
不使用 GP 产生的状态,100,25,3,0.44885423013660336,0.5013784518072464,0.052524221670643044,-0.017353150207948746,0.30731934960286367
不使用 GP 产生的状态,100,25,4,0.09122538196222083,0.5167093163155334,0.42548393435331255,-0.0198833485933451,0.14348229376131252
不使用 GP 产生的状态,100,25,5,0.31019638308268493,0.22626653318118034,-0.0839298499015046,0.1456518528946571,0.1978072982405093
不使用 GP 产生的状态,100,25,6,0.5183685968577261,0.5576704260896367,0.03930182923191053,0.09020396534076516,0.32107702530768356
不使用 GP 产生的状态,100,25,7,0.4467856175137181,0.43140592885116585,-0.015379688662552226,0.16003780781135538,0.2983520627444373
不使用 GP 产生的状态,100,100,0,0.14131468201572023,0.7066298758923222,0.565315193876602,-0.007091592876840025,0.13467609896253593
不使用 GP 产生的状态,100,100,1,0.050855244798390466,0.9906856196502876,0.9398303748518972,0.05233483536770173,0.03657189351747735
不使用 GP 产生的状态,100,100,2,-0.02283185905243506,1.1863504390792174,1.2091822981316527,0.026125363783070635,-0.015213040129571611
不使用 GP 产生的状态,100,100,3,0.012226661894389047,0.9441906583353384,0.9319639964409494,-0.04921352380297734,-0.02924237558889795
不使用 GP 产生的状态,100,100,4,0.03760346250176245,0.1323952228624704,0.09479176036070797,0.009647106169362473,0.06391207837202668
不使用 GP 产生的状态,100,100,5,0.07151201117422278,1.1828857095203895,1.1113736983461668,0.0515190686795138,0.07514994267129932
不使用 GP 产生的状态,100,100,6,0.3090946645610974,1.0374895258217418,0.7283948612606443,0.08735164535522699,0.2875452562300016
不使用 GP 产生的状态,100,100,7,-0.09791683643641678,1.1795109419453251,1.277427778381742,0.09615136347415189,-0.06478076190919385
不使用 GP 产生的状态,100,500,0,-0.050276030111996564,0.28444175139768924,0.3347177815096858,0.0024378920938872284,-0.03868211688228632
不使用 GP 产生的状态,100,500,1,-0.03412690260575039,1.1869784222685587,1.2211053248743091,0.02336612442820475,-0.01630085994867149
不使用 GP 产生的状态,100,500,2,-0.09577278804242281,0.5035516408086934,0.5993244288511161,-0.03817267263246382,-0.07869440285898704
不使用 GP 产生的状态,100,500,3,-0.10937409881534885,1.374542149424338,1.4839162482396868,-0.09219978474873287,-0.1342583629182196
不使用 GP 产生的状态,100,500,4,-0.06217014605863399,-0.005367878675994259,0.05680226738263973,-0.01589213834565475,-0.02254640898442517
不使用 GP 产生的状态,100,500,5,-0.092970129194023,1.5699806048702578,1.6629507340642808,-0.04647247461341881,-0.08091453086374785
不使用 GP 产生的状态,100,500,6,0.04303489462103263,0.11748535699893153,0.07445046237789892,0.043947358139072454,0.059597777712556206
不使用 GP 产生的状态,100,500,7,-0.05927599939146649,1.8978841837317602,1.9571601831232261,0.010008062593603996,-0.03531709647221307
不使用 GP 产生的状态,250,1,0,-0.00014758110402388367,-0.00014758110402388367,0.0,-0.00014758110402388367,0.0
不使用 GP 产生的状态,250,1,1,1.2624492907854624e-06,1.2624492907854624e-06,0.0,1.2624492907854624e-06,0.0
不使用 GP 产生的状态,250,1,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,250,1,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,250,1,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,250,1,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,250,1,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,250,1,7,-0.0013356858125609012,-0.0013356858125609012,0.0,-0.0013356858125609012,0.0
不使用 GP 产生的状态,250,25,0,0.009209060891094781,0.004786761026174011,-0.004422299864920771,-0.0006493568577045947,0.009858417748799376
不使用 GP 产生的状态,250,25,1,0.0018406510666017322,0.017305654884099592,0.01546500381749786,0.0018406510666017322,0.0
不使用 GP 产生的状态,250,25,2,-0.03286384339114237,-0.03894983621295367,-0.0060859928218113014,-0.008747724632421041,-0.03617417813808199
不使用 GP 产生的状态,250,25,3,-0.0014427002631064074,-0.0014439736084392862,-1.273345332878743e-06,-0.0014427002631064074,0.0
不使用 GP 产生的状态,250,25,4,0.0,-0.008537215546825886,-0.008537215546825886,0.0,0.013099076411264102
不使用 GP 产生的状态,250,25,5,0.01769048728715244,0.01769048728715244,0.0,0.0013955857898280872,0.0
不使用 GP 产生的状态,250,25,6,-0.002712320793585299,-0.008136962380755897,-0.005424641587170598,-0.002712320793585299,0.0
不使用 GP 产生的状态,250,25,7,-0.0006819975728871657,-0.0006819975728871657,0.0,-0.0006819975728871657,0.0
不使用 GP 产生的状态,250,100,0,-0.02910042708562778,-0.042007998774962196,-0.012907571689334417,-0.042007998774959726,0.01290757168933195
不使用 GP 产生的状态,250,100,1,0.007447188368931496,0.026702064958684782,0.019254876589753285,0.010653809568639261,-0.008534157208675255
不使用 GP 产生的状态,250,100,2,-0.03286384339114237,-0.03617417813808199,-0.0033103347469396224,-0.008747724632421041,-0.03617417813808199
不使用 GP 产生的状态,250,100,3,0.0057529742177480575,-0.0022703747300253005,-0.008023348947773358,0.0006774197175380476,0.009483876045549936
不使用 GP 产生的状态,250,100,4,-0.010253337895655475,-0.0015714683577404563,0.008681869537915018,-0.010253337895655475,0.0
不使用 GP 产生的状态,250,100,5,0.0006402968511423327,-0.0017405620524879595,-0.002380858903630292,-0.006674767991045173,0.007315064842187506
不使用 GP 产生的状态,250,100,6,-0.010039381306890959,-0.025447142843441444,-0.015407761536550484,-0.010039381306890959,0.0
不使用 GP 产生的状态,250,100,7,0.0010152756320892643,0.0010114152684679053,-3.860363621358924e-06,0.0010152756320892643,0.0
不使用 GP 产生的状态,250,500,0,-0.005343617108967259,-0.01825289521130517,-0.012909278102337909,-0.01825289521130517,0.012909278102337909
不使用 GP 产生的状态,250,500,1,0.10801536421569174,0.028836256229681903,-0.07917910798600986,0.01872695731917309,0.149764524048991
不使用 GP 产生的状态,250,500,2,-0.030104358521682646,-0.04714159091741986,-0.017037232395737217,-0.010034786173893393,-0.03010435852168018
不使用 GP 产生的状态,250,500,3,-0.06827136466455534,-0.04884061119956318,0.01943075346499216,-0.03341552586740478,-0.06029583587729734
不使用 GP 产生的状态,250,500,4,0.030560177587463717,-0.001053359609734825,-0.03161353719719854,0.010427928120500715,0.03352939383165005
不使用 GP 产生的状态,250,500,5,-0.0067462516746793115,-0.042882204059909355,-0.03613595238523004,-0.003942180684917634,0.0019099285230546788
不使用 GP 产生的状态,250,500,6,-0.01873981532997239,-0.08856559995279333,-0.06982578462282094,-0.031584006938288764,0.0
不使用 GP 产生的状态,250,500,7,-0.02710203241617452,-0.04359402640150556,-0.01649199398533104,-0.027102032416179454,7.401486830834377e-15
不使用 GP 产生的状态,500,1,0,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,1,1,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,1,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,1,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,1,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,1,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,1,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,1,7,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,25,0,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,25,1,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,25,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,25,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,25,4,-0.0028470535518909657,-0.0028470535518909657,0.0,-0.0028470535518909657,0.0
不使用 GP 产生的状态,500,25,5,-0.0018921425315257226,-0.0018947559880583891,-2.613456532666684e-06,-0.0018921425315257226,0.0
不使用 GP 产生的状态,500,25,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,25,7,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,100,0,0.012751007387672923,0.01290757168933195,0.00015656430165902592,0.012751007387672923,0.0
不使用 GP 产生的状态,500,100,1,0.009781457108405512,-0.008145322826980106,-0.01792677993538562,-0.0069131723187442085,0.02504194414072458
不使用 GP 产生的状态,500,100,2,-0.00464508450216271,-0.036549616963507975,-0.03190453246134527,-0.00464508450216271,0.0
不使用 GP 产生的状态,500,100,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,100,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,100,5,-0.0018921425315257226,-0.01466671807586195,-0.012774575544336229,-0.0018921425315257226,0.0
不使用 GP 产生的状态,500,100,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,500,100,7,0.0009831059352569424,0.0,-0.0009831059352569424,0.0,0.0
不使用 GP 产生的状态,500,500,0,0.05971087187976762,0.06135441650670062,0.0016435446269329962,0.022401506689847157,0.0628191831748041
不使用 GP 产生的状态,500,500,1,-0.01723932002394414,0.1092590459789501,0.12649836600289424,0.004321292573799478,-0.0673996853989525
不使用 GP 产生的状态,500,500,2,-0.01824530725352454,-0.033865176759996354,-0.01561986950647181,-0.010058313211527527,-0.030174939634575182
不使用 GP 产生的状态,500,500,3,0.0204059162637006,-3.123658675422784e-05,-0.020437152850454825,-0.006789582369368417,0.0038106082241615466
不使用 GP 产生的状态,500,500,4,0.03167456134813346,-0.04877869409550693,-0.0804532554436404,0.010427928120503182,0.03520096947265097
不使用 GP 产生的状态,500,500,5,-0.02878926024764756,-0.0006183355749373515,0.028170924672710207,-0.01191246990020921,-0.028152617406629332
不使用 GP 产生的状态,500,500,6,0.047012722588893024,0.007934503132626483,-0.039078219456266536,-0.007711350371675252,0.03590889325076526
不使用 GP 产生的状态,500,500,7,-0.06276376717058163,0.015224757005105616,0.07798852417568725,-0.039407399462808454,-0.05372465480145324
不使用 GP 产生的状态,1000,1,0,-0.012748440759777522,-0.012748440759777522,0.0,-0.012748440759777522,0.0
不使用 GP 产生的状态,1000,1,1,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,1,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,1,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,1,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,1,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,1,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,1,7,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,25,0,-0.022400244962943953,-0.022400244962943953,0.0,-0.022400244962943953,0.0
不使用 GP 产生的状态,1000,25,1,-0.005682284259799096,-0.005681021810508311,1.2624492907854624e-06,-0.005682284259799096,0.0
不使用 GP 产生的状态,1000,25,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,25,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,25,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,25,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,25,6,-0.008623688543426175,0.0,0.008623688543426175,-0.002874562847808725,-0.008623688543426175
不使用 GP 产生的状态,1000,25,7,-0.0021116189002048616,-0.0003409987864472836,0.0017706201137575779,-0.0021116189002048616,0.0
不使用 GP 产生的状态,1000,100,0,-0.022401528276892888,-0.022401528276892888,0.0,-0.022401528276892888,0.0
不使用 GP 产生的状态,1000,100,1,-0.006658157561916727,-0.006654370214041904,3.7873478748235498e-06,-0.006658157561916727,0.0
不使用 GP 产生的状态,1000,100,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,100,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,100,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,1000,100,5,-0.005074025863200444,-0.005074025863200444,0.0,-0.005074025863200444,0.0
不使用 GP 产生的状态,1000,100,6,0.021494455377246702,-0.02993365900418136,-0.05142811438142806,0.007164818459082234,0.021494455377246702
不使用 GP 产生的状态,1000,100,7,0.003923416225913733,0.0017706201137575779,-0.002152796112156155,0.003923416225913733,0.0
不使用 GP 产生的状态,1000,500,0,-0.016420602623824623,-0.022401506689849623,-0.005980904066025004,-0.01452573485101194,0.005980904066025004
不使用 GP 产生的状态,1000,500,1,0.014919471315510968,-0.0043178931846761985,-0.019237364500187166,-0.0022081152017442798,0.0
不使用 GP 产生的状态,1000,500,2,0.00046787474080970765,-0.03017493963456778,-0.030642814375377487,0.0,0.013800951550578687
不使用 GP 产生的状态,1000,500,3,0.006959435689118326,0.026585027669274237,0.019625591980155913,0.004694736784149889,0.0
不使用 GP 产生的状态,1000,500,4,0.04853484203249073,0.0017382290584702334,-0.04679661297402049,0.020979562056984886,0.07165906081963375
不使用 GP 产生的状态,1000,500,5,-0.05619068662648817,0.018333347222360748,0.07452403384884893,-0.0013106442489184565,-0.05522902937355529
不使用 GP 产生的状态,1000,500,6,-0.035248998927165744,0.014653813772288101,0.04990281269945385,-0.015895816140631958,-0.029029774179800683
不使用 GP 产生的状态,1000,500,7,0.004727384343465128,0.0017716270980066501,-0.002955757245458478,0.003923201367644285,0.0024287183858248992
不使用 GP 产生的状态,2500,1,0,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,1,1,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,1,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,1,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,1,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,1,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,1,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,1,7,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,25,0,0.0,0.0,0.0,0.0,0.0
