replicate,program,instance,behavior,iteration,source_kind,source_current_overlap,source_lift_0,source_lift_1,source_lift_2,source_lift_3,post_unique_tours
0,3,0,三个固定 GP 表达式的均值,25,1,0.71,7.617286047758783,7.617286632828239,8.081412807828853,8.081412807828853,32
0,2,1,三个固定 GP 表达式的均值,25,1,0.756,7.733981117258881,7.733979760368636,8.17570190543177,8.17570190543177,32
0,3,1,三个固定 GP 表达式的均值,25,1,0.762,7.794991975173127,7.794990875726165,8.225277527345035,8.225277527345035,32
0,2,2,三个固定 GP 表达式的均值,25,1,0.738,7.647882562220458,7.647883643006369,8.106759736545357,8.106759736545357,32
0,3,2,三个固定 GP 表达式的均值,25,1,0.744,8.052606122916465,8.052606763794815,8.432352155125802,8.432352155125802,32
0,2,3,三个固定 GP 表达式的均值,25,1,0.78,8.078574145901198,8.07857340280073,8.454030854424458,8.454030854424458,32
0,3,3,三个固定 GP 表达式的均值,25,1,0.724,7.860267795939716,7.866173700501974,8.284245886625587,8.284245886625587,32
0,2,4,三个固定 GP 表达式的均值,25,1,0.836,8.53282238165075,8.532821508853601,8.820062685829567,8.820062685829567,32
0,3,4,三个固定 GP 表达式的均值,25,1,0.786,7.940873735722339,7.940872811866038,8.343310427548683,8.343310427548683,32
0,2,5,三个固定 GP 表达式的均值,25,1,0.792,8.208073475829295,8.214721734915726,8.564136248362967,8.564136248362967,32
0,3,5,三个固定 GP 表达式的均值,25,1,0.78,8.027842463954133,8.027842122561845,8.412410617760713,8.412410617760713,32
0,3,6,三个固定 GP 表达式的均值,25,1,0.76,8.15735290315808,8.157352910574751,8.516925855235334,8.516925855235334,32
0,2,7,三个固定 GP 表达式的均值,25,1,0.762,7.902638102863734,7.913693156211215,8.325269119347967,8.325269119347967,32
0,3,7,三个固定 GP 表达式的均值,25,1,0.748,7.830338535743784,7.835695047948633,8.258337653448098,8.258337653448098,32
0,0,0,不使用 GP,25,1,0.738,7.3490004682859205,7.349000531649909,7.866912534269486,7.866912534269486,32
0,1,0,三个固定 GP 表达式的均值,25,1,0.77,8.147514804917952,8.152732462502826,8.51439043021753,8.51439043021753,32
0,0,1,不使用 GP,25,1,0.734,7.341036703904343,7.3410358305433,7.859907293386657,7.859907293386657,32
0,1,1,三个固定 GP 表达式的均值,25,1,0.772,8.259302655793293,8.25930072205513,8.601161303033495,8.601161303033495,32
0,0,2,不使用 GP,25,1,0.768,7.395312071552017,7.401039162551025,7.911203090558815,7.911203090558815,32
0,1,2,三个固定 GP 表达式的均值,25,1,0.744,7.751787145363388,7.751788037745117,8.189540015309095,8.189540015309095,32
