behavior,iteration,instance,candidate_entropy,candidate_effective_arcs,candidate_gini,top500_mass,top2500_mass,floor_fraction,source_edge_lift,current_best_edge_lift,global_best_edge_lift,reference_edge_lift,top500_persistence,source_age,post_unique_tours
三个固定 GP 表达式的均值,1,0,9.207684761087089,9973.47913976081,0.02223950928427887,0.06295809665355562,0.2683052178440193,0.0,1.220137910433469,1.220137910433469,1.220137910433469,1.1680616716703018,nan,0.0,32.0
三个固定 GP 表达式的均值,1,1,9.207689000314224,9973.521416683412,0.022199327840865916,0.06287960356084137,0.26826326494758074,0.0,1.2195298804191557,1.2195298804191557,1.2195298804191557,1.1636780040395014,nan,0.0,32.0
三个固定 GP 表达式的均值,1,2,9.207663800299919,9973.270084736745,0.0223297651173849,0.06303430374892888,0.268378345036044,0.0,1.220791847870048,1.220791847870048,1.220791847870048,1.170042121027903,nan,0.0,32.0
三个固定 GP 表达式的均值,1,3,9.20767464850107,9973.37827929455,0.022266917253078625,0.06307792408363373,0.2683199110867729,0.0,1.2202453740736816,1.2202453740736816,1.2202453740736816,1.1640008198462624,nan,0.0,32.0
三个固定 GP 表达式的均值,1,4,9.207714605047634,9973.77679145515,0.02207955802941466,0.06301355021099816,0.2681619275326013,0.0,1.2187650922855497,1.2187650922855497,1.2187650922855497,1.1659469041597572,nan,0.0,32.0
三个固定 GP 表达式的均值,1,5,9.207719108059045,9973.821745078989,0.0220799896690617,0.06291528449807895,0.2681700976676862,0.0,1.218460544077157,1.218460544077157,1.218460544077157,1.1670295823120274,nan,0.0,32.0
三个固定 GP 表达式的均值,1,6,9.207744594535326,9974.075898994104,0.021962677144042528,0.06285571059261116,0.268072221102438,0.0,1.2178954716411097,1.2178954716411097,1.2178954716411097,1.1657385466251777,nan,0.0,32.0
三个固定 GP 表达式的均值,1,7,9.207712180099486,9973.752598031708,0.022120030645074965,0.06290315107265951,0.26820611333680877,0.0,1.218772484616741,1.218772484616741,1.218772484616741,1.1625720948547764,nan,0.0,32.0
三个固定 GP 表达式的均值,25,0,7.335393668667972,1533.8514219812064,0.8660074476701234,0.272125454726107,0.9731256475640507,0.0,8.425396671138442,7.990919557303109,8.425396671138442,8.06028085801702,0.4441654295078029,4.333333333333333,32.0
三个固定 GP 表达式的均值,25,1,7.349589562942537,1555.8235842033805,0.8653621136558152,0.23662915403139292,0.973208567139338,0.0,8.403278406723533,7.848442464954364,8.403278406723533,7.904259796083142,0.4459267880687925,2.7777777777777777,32.0
三个固定 GP 表达式的均值,25,2,7.3525040616498485,1560.1604557477904,0.8651820550157248,0.25348646393413454,0.9733386057661207,0.0,8.275532955855873,7.857482877456182,8.275532955855873,8.135832896505903,0.41920045016306534,4.444444444444445,32.0
三个固定 GP 表达式的均值,25,3,7.347551919569812,1552.5280765654393,0.8654930269623623,0.24447445133342066,0.9732116888881978,0.0,8.397647655549848,7.9253079602693095,8.397647655549848,7.941807404898948,0.44966502132792097,3.4444444444444446,32.0
三个固定 GP 表达式的均值,25,4,7.339154255423809,1539.5654346634426,0.8658157757054341,0.2651687222536788,0.9730928130619727,0.0,8.461192782407462,8.007590002706364,8.461192782407462,8.109173161797493,0.4692030333130077,2.3333333333333335,32.0
三个固定 GP 表达式的均值,25,5,7.345600171137203,1549.527993798781,0.8654315704351956,0.28765737748416476,0.9730400822530496,0.0,8.38835020222023,7.8628806124134485,8.38835020222023,8.049934684565363,0.450590264803503,4.0,32.0
三个固定 GP 表达式的均值,25,6,7.346292071332998,1550.5181675834178,0.8652174159399345,0.26606433730359513,0.972978741378539,0.0,8.371188088130376,8.143669450765135,8.371188088130376,8.064530656926879,0.4357882263790571,1.3333333333333333,32.0
三个固定 GP 表达式的均值,25,7,7.354128028003509,1562.685182269934,0.864931319843748,0.28121796821432343,0.9730590034304529,0.0,8.349047006581616,7.863186470629515,8.349047006581616,7.947503506783818,0.4228732244033314,3.2222222222222223,32.0
三个固定 GP 表达式的均值,50,0,7.114865630635121,1230.769987146015,0.8920778370960877,0.3370256339945603,0.9925159595438132,0.8108333333333335,9.215475031034629,8.764581531711432,9.215475031034629,8.280641382245939,0.6141356849225555,7.0,32.0
三个固定 GP 表达式的均值,50,1,7.122670621835541,1239.9547014309217,0.8922858817006463,0.35199953693087277,0.9925233320904676,0.8100555555555555,9.137004364688343,8.687094635433892,9.137004364688343,8.1732176991079,0.5940249550921753,4.222222222222222,32.0
三个固定 GP 表达式的均值,50,2,7.129013957224927,1247.8578316472117,0.8919967704347975,0.4723929905808811,0.992519947990347,0.8050333333333334,9.054901775101449,8.681881326214512,9.054901775101449,8.621623853059909,0.5612985200990322,3.4444444444444446,32.0
三个固定 GP 表达式的均值,50,3,7.137160544264698,1258.2878468456365,0.891759860247599,0.38930915463594534,0.9925227037632445,0.8068777777777778,9.029015228111584,8.672273971654196,9.029015228111584,8.270459672949638,0.6054186814059301,8.333333333333334,32.0
三个固定 GP 表达式的均值,50,4,7.102415680012714,1215.3729122173172,0.8924958149922154,0.3687380345700034,0.9925135806776808,0.8156777777777777,9.237948914615874,8.922505316732872,9.237948914615874,8.531930376398485,0.5809226144277156,3.7777777777777777,32.0
三个固定 GP 表达式的均值,50,5,7.138076623975825,1259.3192528588354,0.8917338973459602,0.4325932038275113,0.9925175307384322,0.8039222222222222,9.03430163111115,8.636459998713923,9.03430163111115,8.419333425982321,0.5918552664803981,6.222222222222222,32.0
三个固定 GP 表达式的均值,50,6,7.12051570851849,1237.4946419051773,0.8922123341150225,0.37148886400107956,0.9925154747390117,0.8100111111111111,9.156811452915191,8.787067764592969,9.156811452915191,8.522385016927892,0.5609547124325945,6.0,32.0
三个固定 GP 表达式的均值,50,7,7.150519703751008,1275.01649968831,0.891404777650431,0.3258569969935738,0.9925049475163438,0.7978333333333334,9.011590851947474,8.520252134808972,9.011590851947474,8.271790278259836,0.5903733242273029,4.888888888888889,32.0
三个固定 GP 表达式的均值,75,0,7.061718565494747,1167.1669711627555,0.8925649816221429,0.3886095625014391,0.9925290976181067,0.8409333333333333,9.474423920002636,9.240304184724945,9.474423920002636,8.295280435816853,0.620493711130188,3.888888888888889,31.666666666666668
三个固定 GP 表达式的均值,75,1,7.068150551165376,1174.4914324492943,0.8926518971121179,0.41706301255482775,0.9925332632375513,0.8389444444444445,9.432459840228097,9.285024017252445,9.432459840228097,8.183965111699822,0.6307180652983849,4.888888888888889,32.0
三个固定 GP 表达式的均值,75,2,7.076219705672661,1184.3216088846928,0.8925317451511593,0.43299660112231597,0.9925311682231024,0.8333888888888888,9.39451718825017,9.124854822911104,9.39451718825017,8.69588022774297,0.6271747649067011,6.333333333333333,31.555555555555557
三个固定 GP 表达式的均值,75,3,7.092151707845467,1203.387933204564,0.8924430313500262,0.4581814187599279,0.9925223070061625,0.8294555555555555,9.28540958038463,8.950591869121206,9.28540958038463,8.204743152896015,0.6071096244681676,6.888888888888889,32.0
三个固定 GP 表达式的均值,75,4,7.038483955821906,1140.1785919342951,0.8926047421274013,0.4752083103922422,0.9925414415535619,0.8549666666666667,9.602563692904555,9.491748844119071,9.602563692904555,8.595543462676517,0.6235593083920157,6.666666666666667,30.0
三个固定 GP 表达式的均值,75,5,7.0977682718791915,1209.9416979230245,0.8924184335421637,0.46072272591984464,0.9925255706384006,0.8233555555555556,9.25770715037601,8.978782975862366,9.25770715037601,8.441343189190512,0.6130347764340782,8.0,32.0
三个固定 GP 表达式的均值,75,6,7.051232579281634,1155.0161870661827,0.8927829151287897,0.5122184393084636,0.992527205162576,0.8473,9.509623612695652,9.393502254739698,9.509623612695652,8.712683723594012,0.6221877325427464,5.555555555555555,31.22222222222222
三个固定 GP 表达式的均值,75,7,7.1145808038023794,1230.4204358100692,0.8921691833858897,0.34916162179185317,0.9925047005118487,0.8128888888888888,9.289014740127005,8.886959570819533,9.289014740127005,8.391722840533456,0.6090911710906604,11.555555555555555,32.0
三个固定 GP 表达式的均值,100,0,7.018846242176418,1117.8408167398384,0.8923421375577882,0.4661799981047923,0.9925487063192414,0.8711444444444445,9.668377468120658,9.668377468120658,9.666395739225528,8.26017318493225,0.6417137648575858,0.0,30.11111111111111
三个固定 GP 表达式的均值,100,1,7.018497740410367,1117.546842832389,0.8922848360084051,0.47674243602332805,0.9925528198505921,0.8698666666666666,9.62463248785619,9.62463248785619,9.700050622374352,8.120362470300812,0.6175275866555783,0.0,29.77777777777778
三个固定 GP 表达式的均值,100,2,7.018207371521909,1117.1407818354867,0.8923632472258815,0.47343965084906514,0.9925433233528071,0.8673444444444445,9.674555102759273,9.674555102759273,9.698138240530744,8.801516848708847,0.6318100672393466,0.0,28.22222222222222
三个固定 GP 表达式的均值,100,3,7.04476518126968,1147.7619839642857,0.8924197770226304,0.48970147931732405,0.9925425390157974,0.8550666666666666,9.49710741681555,9.49710741681555,9.537666686443476,8.173880917308399,0.6454014423601963,0.0,30.0
三个固定 GP 表达式的均值,100,4,7.003961221181935,1101.2629112336037,0.8920495732266072,0.5021939331842141,0.9925556091132616,0.8812333333333333,9.757280729518802,9.757280729518802,9.772409018462584,8.613750684484138,0.6103848789552608,0.0,28.0
三个固定 GP 表达式的均值,100,5,7.0432046820177225,1145.8928316030322,0.8925209569189995,0.4832752975176715,0.9925360132957136,0.8527666666666666,9.458773429587476,9.458773429587476,9.543784098037182,8.510565497885327,0.6175231695588014,0.0,30.444444444444443
三个固定 GP 表达式的均值,100,6,7.010584844064556,1108.58830573129,0.8922514779027357,0.4897650916001365,0.9925481588708374,0.8738222222222222,9.716881111221344,9.716881111221344,9.768201333318082,8.828884416275933,0.6116292335623188,0.0,30.11111111111111
三个固定 GP 表达式的均值,100,7,7.0710159890663355,1178.4424267429995,0.8927055927760542,0.4033020158474826,0.9925234611713785,0.8384222222222222,9.476256079045074,9.476256079045074,9.595231439625742,8.44127294370073,0.6238795281446674,0.0,31.333333333333332
三个固定 GP 表达式的均值,125,0,6.994084229716887,1090.2674920570917,0.8917756340692358,0.4836100966622045,0.9925592220131855,0.8884666666666666,9.811512611815472,9.811512611815472,9.813979270939466,8.233161675543355,0.6118459984799771,0.0,25.22222222222222
三个固定 GP 表达式的均值,125,1,7.003871537911361,1101.5343143141017,0.8918101470415625,0.48002676072580613,0.9925560609194611,0.8846111111111111,9.744999341472505,9.744999341472505,9.746017480292247,8.181631062384625,0.5942975037993903,0.0,28.88888888888889
三个固定 GP 表达式的均值,125,2,6.994249581667399,1090.4966842076492,0.8916660021099835,0.49930414426559977,0.992559031441306,0.8869444444444444,9.824603546785065,9.824603546785065,9.794027718011181,8.92956619379357,0.5838579385269191,0.0,24.333333333333332
三个固定 GP 表达式的均值,125,3,7.011804168816822,1110.2375582078828,0.8919948561424254,0.48507585036433415,0.9925529879697534,0.8743333333333333,9.68517598500371,9.68517598500371,9.723083666463056,8.242631333528113,0.6228918435276909,0.0,28.444444444444443
三个固定 GP 表达式的均值,125,4,6.989222573575904,1085.0686707839434,0.8915566842273598,0.498739943568112,0.9925620494972954,0.8911444444444443,9.834280992784162,9.834280992784162,9.837652668771119,8.624122992805123,0.6465398282073402,0.0,18.333333333333332
三个固定 GP 表达式的均值,125,5,7.009584829815099,1107.6212780834203,0.8921208871572737,0.5032604285812855,0.9925512447311652,0.8758777777777778,9.700421286121435,9.700421286121435,9.724496179499168,8.559420374019531,0.5738437550694301,0.0,28.444444444444443
三个固定 GP 表达式的均值,125,6,6.986798237080674,1082.2744739659784,0.8916477299011193,0.49885458120407644,0.99255601464809,0.8904555555555554,9.903164157722204,9.903164157722204,9.93129212633903,8.993409045608173,0.60118559920025,0.0,27.0
三个固定 GP 表达式的均值,125,7,7.035665472307134,1137.761188992271,0.8923463934981812,0.4866252820918145,0.9925324778183702,0.8595555555555556,9.66498408192808,9.66498408192808,9.791667431864973,8.476213747851325,0.584499925196807,0.0,30.666666666666668
三个固定 GP 表达式的均值,150,0,6.98271183930811,1077.8453621668277,0.8913827126074096,0.49708316317384926,0.9925656305738991,0.8957777777777777,9.888642027109029,9.884453533298176,9.888642027109029,8.226111082873498,0.6220023818467283,6.222222222222222,21.88888888888889
三个固定 GP 表达式的均值,150,1,6.98714106066576,1082.7026077357493,0.8915737096599599,0.498564749305231,0.9925632043522802,0.8927111111111111,9.846356797072152,9.844779927659337,9.846356797072152,8.241464930809418,0.583355060345426,8.555555555555555,22.0
三个固定 GP 表达式的均值,150,2,6.98485786770614,1080.167368929243,0.8914039321605904,0.49745676198945366,0.9925650649942135,0.8947555555555555,9.86508956784851,9.865759223486883,9.86508956784851,9.00706128568238,0.5988905180422285,7.888888888888889,22.666666666666668
三个固定 GP 表达式的均值,150,3,6.9942624178504325,1090.5131619250767,0.8916453353349179,0.49918397762298305,0.9925615341516895,0.8886000000000001,9.826680999247381,9.801083678382465,9.826680999247381,8.27864566434785,0.5840856800027637,5.555555555555555,24.88888888888889
三个固定 GP 表达式的均值,150,4,6.982489781774479,1077.63024565729,0.8913262344977301,0.4970237381463398,0.9925651065648621,0.8965555555555554,9.890863882215454,9.876912641380262,9.890863882215454,8.64917929003781,0.634020212054972,19.0,18.88888888888889
三个固定 GP 表达式的均值,150,5,6.989713546798375,1085.4482559037042,0.8916388836249136,0.49887513068977973,0.9925618261684546,0.890288888888889,9.837460399571787,9.839318287988107,9.837460399571787,8.623385657604471,0.5761401992622552,4.111111111111111,27.0
三个固定 GP 表达式的均值,150,6,6.9822735600547645,1077.3757087034346,0.8914413604036712,0.49761584652149465,0.9925592623267521,0.8973888888888888,9.977507955003542,10.00040387595304,9.977507955003542,9.108162791925436,0.6147031250206225,3.5555555555555554,21.22222222222222
三个固定 GP 表达式的均值,150,7,7.001942914008809,1099.0174147350936,0.8921478416581132,0.46926080291002253,0.9925429798291621,0.8793333333333333,9.849279867009024,9.781838770934918,9.849279867009024,8.513111940582396,0.5579944756058802,1.6666666666666667,27.88888888888889
三个固定 GP 表达式的均值,175,0,6.982383391383626,1077.4878141320332,0.8913485174400384,0.4969132964970639,0.9925657490730292,0.8980000000000001,9.886748995194646,9.886748995194646,9.874060230442582,8.276486174919889,0.6032645905212289,0.0,20.88888888888889
三个固定 GP 表达式的均值,175,1,6.9848539581589755,1080.1640330122282,0.8914481316615761,0.49767395508819035,0.9925654756251993,0.8960666666666666,9.862324870445299,9.862324870445299,9.842448625926245,8.293561990190963,0.5901507111745325,0.0,22.88888888888889
三个固定 GP 表达式的均值,175,2,6.982666075131256,1077.7933296304354,0.8913569146591455,0.49711984787445895,0.9925658481109889,0.8973999999999999,9.880229100403486,9.880229100403486,9.880229100403486,9.036540579489952,0.5818465724343573,0.0,21.333333333333332
三个固定 GP 表达式的均值,175,3,6.983693760655191,1078.9078619389484,0.8914084952063005,0.49746395430450757,0.9925650646697615,0.8958666666666668,9.88323501410608,9.88323501410608,9.88531956563118,8.304088649461114,0.5962535459223155,0.0,20.22222222222222
三个固定 GP 表达式的均值,175,4,6.980240338143132,1075.1793243179864,0.8912329413502822,0.49643788709281345,0.9925662161225097,0.8985333333333334,9.896505421448932,9.896505421448932,9.896505421448932,8.686348425529966,0.6198090204824884,0.0,16.11111111111111
三个固定 GP 表达式的均值,175,5,6.984083638324226,1079.3595802988636,0.8914090578015481,0.49753325404722987,0.992564399896338,0.8957444444444445,9.882102075794547,9.882102075794547,9.8679143402947,8.654263977297466,0.6039787801847509,0.0,18.555555555555557
三个固定 GP 表达式的均值,175,6,6.979444529642141,1074.3243020384043,0.8913665660363126,0.49718215353122097,0.9925596389113266,0.8983888888888889,10.005243794392323,10.005243794392323,10.054536611733592,9.185201763046656,0.6273787622989355,0.0,21.666666666666668
三个固定 GP 表达式的均值,175,7,6.984102418934591,1079.3512750721789,0.8915712652001238,0.49356205343956083,0.992557467270659,0.8935555555555555,9.993198655354878,9.993198655354878,10.073636778870403,8.620041113214775,0.5997543957934721,0.0,25.444444444444443
三个固定 GP 表达式的均值,200,0,6.980705868919525,1075.6806813798257,0.8912664418179662,0.4964715942608378,0.9925651049931266,0.8982222222222221,9.891488004036617,9.891488004036617,9.891488004036617,8.290717129762783,0.6133741553658959,14.11111111111111,19.444444444444443
三个固定 GP 表达式的均值,200,1,6.981041595422274,1076.0410206628026,0.8912887877421151,0.49675623958438186,0.9925662429674781,0.8976666666666667,9.892363669819293,9.892363669819293,9.892363669819293,8.390915029153128,0.6153298559185538,12.444444444444445,19.555555555555557
三个固定 GP 表达式的均值,200,2,6.980114254265508,1075.0441226357232,0.8912296182634718,0.49642506728294816,0.9925662426361169,0.8986222222222222,9.89511651053514,9.896898651219189,9.89511651053514,9.03909097213603,0.5939115752707826,13.444444444444445,16.88888888888889
