regime,regime_key,behavior,behavior_key,iteration,candidate_entropy,candidate_effective_arcs,candidate_gini,top500_mass,top2500_mass,floor_fraction,source_edge_lift,current_best_edge_lift,global_best_edge_lift,reference_edge_lift,top500_persistence,source_kind,source_age,source_current_overlap
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,1,9.208824205114684,9984.849819388131,0.02078921158397118,0.054014695210641825,0.2677833987379567,0.0,1.1337183225797087,1.1337183225797087,1.1337183225797087,1.1434588491990083,nan,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,25,7.687512474696161,2180.9426589803693,0.8292405442901871,0.21644020038827755,0.9536030897896485,0.0,6.568588348355352,6.568588348355352,6.700690575036897,6.930028426147817,0.7921146953405018,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,50,7.542901359216087,1887.2978182296035,0.8564851108139842,0.2663574209246701,0.9773215577583925,0.5827,6.9906168790011876,6.9906168790011876,6.9369542684028245,7.154917455927518,0.9083969465648855,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,75,7.543098964553821,1887.6707952022873,0.8564394355935705,0.42646320441009944,0.9765318356747906,0.5864,6.9870183390299125,6.9870183390299125,6.914678594816509,7.1704011653855595,0.8939393939393939,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,100,7.543688044558224,1888.7831119122366,0.8563825505680991,0.3927010285577842,0.9768728303058397,0.5863,7.034305875430498,7.034305875430498,6.892594132701861,7.170125130147232,0.8867924528301887,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,125,7.546698631533241,1894.47802596324,0.8560597691839076,0.2261268181228425,0.9766558200264369,0.5844,6.993626270608519,6.993626270608519,6.888940227104602,7.148510556287135,0.9083969465648855,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,150,7.538561671020027,1879.1252801249962,0.8569747655185627,0.22252215795621497,0.9776127640000676,0.5877,7.043063878690032,7.043063878690032,7.0222019339982324,7.180606667248241,0.9230769230769231,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,175,7.541811664155668,1885.2423592346909,0.856596029886044,0.23152781249474438,0.9764761331104865,0.5857,6.980718901502592,6.980718901502592,7.021148544348551,7.151353185195722,0.8939393939393939,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,200,7.544366799432826,1890.0655678438834,0.8563203500898704,0.21792690356962152,0.9762559178982199,0.5848,7.053234863502949,7.053234863502949,7.013470551926819,7.168295351593662,0.8939393939393939,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,225,7.540820247791183,1883.3742253110133,0.8566997755842451,0.22594279886690066,0.977115014301897,0.5882,6.880186854485752,6.880186854485752,7.012661753696084,7.180860461990992,0.8796992481203008,0,0.0,1.0
