state_owner,snapshot_iteration,historical_source,update_rule,instance,affected_probability_tv,unaffected_probability_tv
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,1,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,2,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,3,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,4,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,5,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,6,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,7,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,1,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,2,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,3,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,4,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,5,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,6,nan,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,7,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,1,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,2,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,3,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,4,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,5,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,6,nan,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,7,nan,0.0
