state_owner,snapshot_iteration,historical_source,update_rule,metric,mean,point_low,point_high,instances
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,0.0,0.0,0.0,8
GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,历史全局最优路径,GP 源内重加权,affected_probability_tv,0.06680356579423406,0.04778666534040449,0.09047205362495635,7
GP 表达式自身产生的状态,100,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,4.239673805722572e-05,1.5355784554828403e-05,7.347537003503912e-05,8
GP 表达式自身产生的状态,100,历史全局最优路径,来源内均匀沉积,affected_probability_tv,0.09228914691028292,0.07139921990490912,0.1192623506770457,7
GP 表达式自身产生的状态,100,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,3.9471820634768947e-10,2.7369881025225976e-10,5.226843601382118e-10,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,GP 源内重加权,affected_probability_tv,0.06680356579423406,0.047786665340404495,0.09012483416951507,7
GP 表达式自身产生的状态,100,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,4.239673805722572e-05,1.526586624941144e-05,7.285322307880307e-05,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,affected_probability_tv,0.09228914691028292,0.0715433579043966,0.11793114491027379,7
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,3.9471820634768947e-10,2.7537911137608174e-10,5.24809370869542e-10,8
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,1.828174438053791e-07,5.959006714461892e-08,3.228026814177865e-07,8
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,8.974020743296146e-11,0.0,2.2386393395361711e-10,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,1.828174438053791e-07,6.111459040306126e-08,3.228041540921009e-07,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,8.974020743296146e-11,1.4045744555637865e-12,2.238639339536171e-10,8
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,9.0267760027774e-08,1.3395129959934475e-09,2.668617543994428e-07,8
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,5.351449597254917e-12,0.0,1.605434879176475e-11,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,2.0773667945166074e-09,1.3008966597866655e-09,3.3563743920716097e-09,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,5.351449597254917e-12,0.0,1.605434879176475e-11,8
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,affected_probability_tv,0.05800433296230044,0.038904726285164566,0.0801364944825483,7
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,7.2823646590551365e-06,3.1510707940457016e-06,1.1434162449131601e-05,8
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,affected_probability_tv,0.08288547581027704,0.05206279255186669,0.11652152094463518,7
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,1.6024865806040843e-10,6.452614274607287e-11,2.535508632142397e-10,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,affected_probability_tv,0.07988454140433779,0.07119536175918968,0.0885737210494859,2
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,1.43876542921474e-06,4.861444440609339e-08,3.3645645805048543e-06,8
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,affected_probability_tv,0.1210565451724343,0.09758417063369847,0.14452891971117013,2
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,1.1886984639179495e-10,3.4190217932558346e-11,2.1003607309139574e-10,8
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,affected_probability_tv,0.05512921644409002,0.041414100947753774,0.07043453698506016,8
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,1.8080780905414453e-05,9.842998924663749e-06,2.6896471562021712e-05,8
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,affected_probability_tv,0.08495755500364725,0.0644574128545541,0.10630330459158902,8
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,2.151272596204691e-10,4.4724009701360725e-11,4.41625840167206e-10,8
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,affected_probability_tv,0.0539657885964477,0.01853286588892457,0.08555076123433877,4
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,3.1352263604170053e-06,6.749890026492999e-07,6.3396603187509336e-06,8
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,affected_probability_tv,0.05861076550109855,0.020199449088894386,0.09532313235830277,4
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,1.3493631222269024e-11,6.541218437560926e-14,4.010987666767046e-11,8
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,0.0,0.0,0.0,8
