state_owner,snapshot_iteration,source,phase,instance,deposit_l1_over_budget,source_edge_tau_l1_over_two_budget,global_tau_relative_l1
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,0,0.2020033613497778,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,1,0.21175167451826452,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,2,0.2044998209637251,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,3,0.20962890371431842,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,4,0.21320191994286833,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,5,0.2063738362647068,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,6,0.20620596829478302,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,更新前,7,0.2035839372099358,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,0,0.2020033613497778,0.20200339753842003,0.00016337076519957924
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,1,0.21175167451826452,0.21175169446202338,0.00017071870511549856
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,2,0.2044998209637251,0.20449983202428013,0.00016591052762856583
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,3,0.20962890371431842,0.2096288916797751,0.00016962790119892603
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,4,0.21320191994286833,0.21320192615286268,0.00017103241719050694
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,5,0.2063738362647068,0.20637383944983365,0.00016558949296736092
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,6,0.20620596829478302,0.2062059390842096,0.00016460824482985957
GP 表达式自身产生的状态,1,历史全局最优路径,沉积后,7,0.2035839372099358,0.20358392758121235,0.0001636759796620589
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,0,0.2020033613497778,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,1,0.21175167451826452,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,2,0.2044998209637251,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,3,0.20962890371431842,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,4,0.21320191994286833,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,5,0.2063738362647068,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,6,0.20620596829478302,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,蒸发和下界保护后,7,0.2035839372099358,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,0,0.2020033613497778,0.20200339753842003,0.00016337076519957924
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,1,0.21175167451826452,0.21175169446202338,0.00017071870511549856
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,2,0.2044998209637251,0.20449983202428013,0.00016591052762856583
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,3,0.20962890371431842,0.2096288916797751,0.00016962790119892603
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,4,0.21320191994286833,0.21320192615286268,0.00017103241719050694
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,5,0.2063738362647068,0.20637383944983365,0.00016558949296736092
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,6,0.20620596829478302,0.2062059390842096,0.00016460824482985957
GP 表达式自身产生的状态,1,历史全局最优路径,重启和可选上界处理后,7,0.2035839372099358,0.20358392758121235,0.0001636759796620589
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,0,0.2020033613497778,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,1,0.21175167451826452,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,2,0.2044998209637251,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,3,0.20962890371431842,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,4,0.21320191994286833,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,5,0.2063738362647068,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,6,0.20620596829478302,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,更新前,7,0.2035839372099358,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,0,0.2020033613497778,0.20200339753842003,0.00016337076519957924
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,1,0.21175167451826452,0.21175169446202338,0.00017071870511549856
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,2,0.2044998209637251,0.20449983202428013,0.00016591052762856583
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,3,0.20962890371431842,0.2096288916797751,0.00016962790119892603
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,4,0.21320191994286833,0.21320192615286268,0.00017103241719050694
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,5,0.2063738362647068,0.20637383944983365,0.00016558949296736092
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,6,0.20620596829478302,0.2062059390842096,0.00016460824482985957
GP 表达式自身产生的状态,1,历史重启阶段最优路径,沉积后,7,0.2035839372099358,0.20358392758121235,0.0001636759796620589
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,0,0.2020033613497778,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,1,0.21175167451826452,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,2,0.2044998209637251,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,3,0.20962890371431842,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,4,0.21320191994286833,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,5,0.2063738362647068,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,6,0.20620596829478302,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,7,0.2035839372099358,0.0,0.0
GP 表达式自身产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,0,0.2020033613497778,0.20200339753842003,0.00016337076519957924
GP 表达式自身产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,1,0.21175167451826452,0.21175169446202338,0.00017071870511549856
