execution_configuration,expression_origin,baseline_gap_percent,gp_gap_percent,gp_benefit_pp,wins,ties,losses
AS：强化全部本轮路径,AS 训练的三个表达式,3.0900520891208423,1.4727187185002522,1.6173333706205901,32,0,0
AS：强化全部本轮路径,MMAS 训练的三个表达式,3.0900520891208423,2.465847997825168,0.6242040912956741,32,0,0
AS：仅强化本轮最优路径,AS 训练的三个表达式,1.1222807186124635,1.4193506061081385,-0.29706988749567464,1,1,30
AS：仅强化本轮最优路径,MMAS 训练的三个表达式,1.1222807186124635,1.2012297894012742,-0.07894907078881053,10,5,17
AS：固定日程历史路径强化,AS 训练的三个表达式,1.0953774954277093,1.4145841578572897,-0.3192066624295803,0,0,32
AS：固定日程历史路径强化,MMAS 训练的三个表达式,1.0953774954277093,1.195698850498159,-0.10032135507044969,9,3,20
MMAS：强化全部本轮路径,AS 训练的三个表达式,3.034832337761294,1.6203442477749255,1.4144880899863683,32,0,0
MMAS：强化全部本轮路径,MMAS 训练的三个表达式,3.034832337761294,2.4568784719361574,0.5779538658251364,32,0,0
MMAS：仅强化本轮最优路径,AS 训练的三个表达式,0.5563725218792062,0.21587919770358094,0.34049332417562517,20,1,11
MMAS：仅强化本轮最优路径,MMAS 训练的三个表达式,0.5563725218792062,0.1896406452621421,0.36673187661706397,21,5,6
MMAS：固定日程历史路径强化,AS 训练的三个表达式,0.20936341169989933,0.2401705187383985,-0.030807107038499138,10,4,18
MMAS：固定日程历史路径强化,MMAS 训练的三个表达式,0.20936341169989933,0.23286162998331714,-0.02349821828341777,12,3,17
MMAS：完整原生配置,AS 训练的三个表达式,0.09628131908665724,0.13124950469063057,-0.03496818560397334,4,6,22
MMAS：完整原生配置,MMAS 训练的三个表达式,0.09628131908665724,0.11630625704190194,-0.02002493795524469,5,9,18
