state_owner,continuation_iterations,instance,pre_symmetric_difference,post_symmetric_difference,defined_survival_ratio,undefined_ants
不使用 GP 产生的状态,1,0,51.719907407407405,35.77199074074074,1.2996606369835435,23.703703703703702
不使用 GP 产生的状态,1,1,52.398148148148145,36.18518518518518,1.2819925154030036,24.185185185185187
不使用 GP 产生的状态,1,2,55.410879629629626,40.55902777777778,1.2290887177229521,23.51851851851852
不使用 GP 产生的状态,1,3,65.70486111111111,43.77546296296296,1.3845148055298833,23.296296296296298
不使用 GP 产生的状态,1,4,87.66319444444444,51.86921296296296,1.2419884570922706,23.444444444444443
不使用 GP 产生的状态,1,5,64.18171296296296,43.004629629629626,1.2897017918472442,23.444444444444443
不使用 GP 产生的状态,1,6,67.0,46.65046296296296,1.5464531734056264,22.833333333333332
不使用 GP 产生的状态,1,7,66.26736111111111,45.88194444444444,1.4198006386517348,23.25925925925926
不使用 GP 产生的状态,25,0,88.25925925925925,90.57523148148148,1.224996712995868,12.351851851851851
不使用 GP 产生的状态,25,1,89.8761574074074,87.86921296296296,1.4131839083539066,15.555555555555555
不使用 GP 产生的状态,25,2,103.03703703703704,104.17129629629629,1.229690866768956,10.981481481481481
不使用 GP 产生的状态,25,3,104.94560185185185,104.34953703703704,1.3163049509988374,12.703703703703704
不使用 GP 产生的状态,25,4,126.20254629629629,121.73842592592592,1.1459769871071352,11.685185185185185
不使用 GP 产生的状态,25,5,104.86921296296296,104.77199074074075,1.2321237545828283,14.166666666666666
不使用 GP 产生的状态,25,6,113.96180555555556,116.63310185185185,1.533816678923019,9.814814814814815
不使用 GP 产生的状态,25,7,112.78356481481481,114.70833333333333,1.2623423502316333,12.37037037037037
不使用 GP 产生的状态,100,0,64.95486111111111,66.64004629629629,1.0260918683473779,13.722222222222221
不使用 GP 产生的状态,100,1,67.06944444444444,69.39120370370371,1.166429967940737,13.703703703703704
不使用 GP 产生的状态,100,2,62.083333333333336,65.875,1.2234711628978714,12.296296296296296
不使用 GP 产生的状态,100,3,83.59375,89.33449074074075,1.2263024435666492,10.055555555555555
不使用 GP 产生的状态,100,4,81.06712962962963,83.78472222222223,1.1704964778977145,10.24074074074074
不使用 GP 产生的状态,100,5,78.87037037037037,84.45254629629629,1.1577294756047074,12.666666666666666
不使用 GP 产生的状态,100,6,72.01851851851852,79.45601851851852,1.2939349205112267,9.981481481481481
不使用 GP 产生的状态,100,7,91.92939814814815,103.54166666666667,1.5857558469170063,10.203703703703704
不使用 GP 产生的状态,500,0,138.35532407407408,130.16550925925927,1.0473165864834166,4.87037037037037
不使用 GP 产生的状态,500,1,143.19444444444446,134.45486111111111,1.0944842008810176,2.2962962962962963
不使用 GP 产生的状态,500,2,106.76736111111111,99.29745370370371,1.209611083892618,6.777777777777778
不使用 GP 产生的状态,500,3,141.9710648148148,125.54745370370371,1.2097942136194968,5.907407407407407
不使用 GP 产生的状态,500,4,114.70023148148148,96.83680555555556,1.0552577212279652,8.481481481481481
不使用 GP 产生的状态,500,5,129.77199074074073,120.44328703703704,1.0701735844354925,5.166666666666667
不使用 GP 产生的状态,500,6,99.57870370370371,92.35416666666667,1.10387921377257,7.277777777777778
不使用 GP 产生的状态,500,7,143.6099537037037,144.1377314814815,1.066450212434497,3.3518518518518516
各 GP 表达式自身产生的状态,1,0,82.38310185185185,45.104166666666664,1.2742949898220193,23.61111111111111
各 GP 表达式自身产生的状态,1,1,70.15046296296296,39.936342592592595,1.4210216821885382,23.703703703703702
各 GP 表达式自身产生的状态,1,2,56.2025462962963,34.59606481481482,1.528058163580451,24.11111111111111
各 GP 表达式自身产生的状态,1,3,84.70254629629629,49.326388888888886,1.4104710585872597,23.296296296296298
各 GP 表达式自身产生的状态,1,4,42.392361111111114,26.109953703703702,1.4263149448031087,24.40740740740741
各 GP 表达式自身产生的状态,1,5,95.79629629629629,53.90856481481482,1.2426345404136157,23.62962962962963
各 GP 表达式自身产生的状态,1,6,70.16782407407408,40.451388888888886,1.4436045415066203,23.185185185185187
各 GP 表达式自身产生的状态,1,7,57.875,38.14351851851852,1.7248069083465591,23.833333333333332
各 GP 表达式自身产生的状态,25,0,100.09375,96.41666666666667,1.4332068692488755,13.055555555555555
各 GP 表达式自身产生的状态,25,1,94.14699074074075,91.7511574074074,1.4543200503379279,13.38888888888889
各 GP 表达式自身产生的状态,25,2,96.95601851851852,98.13310185185185,1.3676538555011544,11.38888888888889
各 GP 表达式自身产生的状态,25,3,101.31597222222223,102.10763888888889,1.4656143145802656,12.74074074074074
各 GP 表达式自身产生的状态,25,4,92.91898148148148,90.52777777777777,1.3221825238805673,11.351851851851851
各 GP 表达式自身产生的状态,25,5,112.92939814814815,115.97569444444444,1.1490640163247419,11.907407407407407
各 GP 表达式自身产生的状态,25,6,89.78356481481481,89.51157407407408,1.4044347145858267,13.092592592592593
各 GP 表达式自身产生的状态,25,7,97.84375,103.04398148148148,1.5198150676114661,11.37037037037037
各 GP 表达式自身产生的状态,100,0,71.15625,74.33564814814815,1.2463002814477226,13.074074074074074
各 GP 表达式自身产生的状态,100,1,71.66319444444444,73.91203703703704,1.2166433235461787,13.25925925925926
各 GP 表达式自身产生的状态,100,2,70.32986111111111,75.27546296296296,1.2383068871322127,12.11111111111111
各 GP 表达式自身产生的状态,100,3,77.79282407407408,81.32407407407408,1.3842775610114209,12.018518518518519
各 GP 表达式自身产生的状态,100,4,62.89351851851852,65.02546296296296,1.4625819560334898,12.833333333333334
各 GP 表达式自身产生的状态,100,5,80.02199074074075,85.2199074074074,1.493321339853742,11.38888888888889
各 GP 表达式自身产生的状态,100,6,59.31018518518518,64.95601851851852,1.4835623913669114,12.166666666666666
各 GP 表达式自身产生的状态,100,7,80.86805555555556,90.26504629629629,1.4271037221429361,10.12962962962963
各 GP 表达式自身产生的状态,500,0,137.04050925925927,128.05208333333334,1.1492244804071545,7.351851851851852
各 GP 表达式自身产生的状态,500,1,136.86921296296296,128.58449074074073,1.0616110811072812,5.648148148148148
各 GP 表达式自身产生的状态,500,2,118.47106481481481,105.0925925925926,1.1603531116198145,6.62962962962963
