state_owner,snapshot_iteration,continuation_iterations,instance,pre_symmetric_difference,post_symmetric_difference,defined_survival_ratio,undefined_ants
不使用 GP 产生的状态,1,1,0,236.00694444444446,120.38888888888889,0.5103446827601243,21.333333333333332
不使用 GP 产生的状态,1,1,1,239.99305555555554,125.47916666666667,0.5231813280174346,21.333333333333332
不使用 GP 产生的状态,1,1,2,234.95833333333334,122.84722222222223,0.5231334731083356,21.333333333333332
不使用 GP 产生的状态,1,1,3,240.0,125.08333333333333,0.5214670678386244,21.333333333333332
不使用 GP 产生的状态,1,1,4,235.11805555555554,122.22222222222223,0.5202649906472016,21.333333333333332
不使用 GP 产生的状态,1,1,5,234.375,122.90277777777777,0.5250910556375413,21.333333333333332
不使用 GP 产生的状态,1,1,6,237.35416666666666,121.31944444444444,0.5114644735023557,21.333333333333332
不使用 GP 产生的状态,1,1,7,235.8125,124.26388888888889,0.5274068113696346,21.333333333333332
不使用 GP 产生的状态,1,25,0,307.7291666666667,281.6458333333333,0.918315892669936,0.0
不使用 GP 产生的状态,1,25,1,324.8541666666667,296.21527777777777,0.9144498804240035,0.0
不使用 GP 产生的状态,1,25,2,319.4375,296.65277777777777,0.9319154746177135,0.0
不使用 GP 产生的状态,1,25,3,315.40972222222223,291.43055555555554,0.9267114810985105,0.0
不使用 GP 产生的状态,1,25,4,312.6458333333333,289.8958333333333,0.9294162296073805,0.0
不使用 GP 产生的状态,1,25,5,315.97222222222223,295.97222222222223,0.9393650226331339,0.0
不使用 GP 产生的状态,1,25,6,318.6875,293.9583333333333,0.9248137924452935,0.0
不使用 GP 产生的状态,1,25,7,320.7986111111111,302.7361111111111,0.9467751907718599,0.0
不使用 GP 产生的状态,1,100,0,208.6875,207.11111111111111,0.9951926888636962,0.0
不使用 GP 产生的状态,1,100,1,240.40277777777777,235.28472222222223,0.9808286948447645,0.0
不使用 GP 产生的状态,1,100,2,204.96527777777777,209.09722222222223,1.0233919999501409,0.0
不使用 GP 产生的状态,1,100,3,228.83333333333334,229.76388888888889,1.0062799830834521,0.0
不使用 GP 产生的状态,1,100,4,202.38888888888889,202.35416666666666,1.0039110680411985,0.0
不使用 GP 产生的状态,1,100,5,223.9375,234.29166666666666,1.052102580502435,0.0
不使用 GP 产生的状态,1,100,6,202.02083333333334,213.46527777777777,1.064054825762561,0.0
不使用 GP 产生的状态,1,100,7,236.65972222222223,244.72916666666666,1.0375901118413953,0.0
不使用 GP 产生的状态,1,500,0,255.38194444444446,194.71527777777777,0.8950855050253215,0.0
不使用 GP 产生的状态,1,500,1,231.25694444444446,164.03472222222223,0.899940717606539,0.0
不使用 GP 产生的状态,1,500,2,187.44444444444446,123.71527777777777,0.9218888737918716,3.4444444444444446
不使用 GP 产生的状态,1,500,3,282.86805555555554,178.06944444444446,0.837440685519386,0.0
不使用 GP 产生的状态,1,500,4,278.7986111111111,162.95833333333334,0.7469617762887472,10.666666666666666
不使用 GP 产生的状态,1,500,5,208.26388888888889,142.63194444444446,0.9086070213516706,0.0
不使用 GP 产生的状态,1,500,6,195.49305555555554,133.5,1.1267883538556607,2.7777777777777777
不使用 GP 产生的状态,1,500,7,181.91666666666666,156.8125,0.9850581617288449,0.0
不使用 GP 产生的状态,100,1,0,49.40972222222222,60.36805555555556,1.3992105529226346,21.333333333333332
不使用 GP 产生的状态,100,1,1,62.5625,72.60416666666667,1.201976438921131,21.333333333333332
不使用 GP 产生的状态,100,1,2,50.083333333333336,60.96527777777778,1.223824763178542,21.333333333333332
不使用 GP 产生的状态,100,1,3,58.375,69.5625,1.2182516079734358,21.333333333333332
不使用 GP 产生的状态,100,1,4,40.68055555555556,52.75694444444444,1.52495534037935,21.444444444444443
不使用 GP 产生的状态,100,1,5,57.46527777777778,71.96527777777777,1.3002497898369283,21.333333333333332
不使用 GP 产生的状态,100,1,6,51.298611111111114,66.43055555555556,1.3405214886043424,21.333333333333332
不使用 GP 产生的状态,100,1,7,58.458333333333336,73.06944444444444,1.2899846315085275,21.333333333333332
不使用 GP 产生的状态,100,25,0,153.34027777777777,175.39583333333334,1.1702715339438625,0.0
不使用 GP 产生的状态,100,25,1,192.69444444444446,199.61805555555554,1.0445125744722232,0.0
不使用 GP 产生的状态,100,25,2,149.26388888888889,165.13888888888889,1.1140504289955062,0.0
不使用 GP 产生的状态,100,25,3,181.83333333333334,196.27083333333334,1.0863576194187816,0.0
不使用 GP 产生的状态,100,25,4,110.46527777777777,124.44444444444444,1.1502123088919598,0.0
不使用 GP 产生的状态,100,25,5,188.45833333333334,207.31944444444446,1.1201782395329487,0.0
不使用 GP 产生的状态,100,25,6,170.92361111111111,185.08333333333334,1.0867582672367675,0.0
不使用 GP 产生的状态,100,25,7,190.64583333333334,208.29861111111111,1.098328276635073,0.0
不使用 GP 产生的状态,100,100,0,125.47222222222223,130.51388888888889,1.0598385833581545,0.0
不使用 GP 产生的状态,100,100,1,126.0,133.02083333333334,1.0585620328308436,0.0
不使用 GP 产生的状态,100,100,2,70.25694444444444,79.02083333333333,1.1640864745952442,0.0
不使用 GP 产生的状态,100,100,3,138.47222222222223,145.85416666666666,1.0540422918616714,0.0
不使用 GP 产生的状态,100,100,4,63.583333333333336,72.10416666666667,1.201512136551595,0.4444444444444444
不使用 GP 产生的状态,100,100,5,149.63888888888889,158.84722222222223,1.0601566680135197,0.0
不使用 GP 产生的状态,100,100,6,92.78472222222223,99.20833333333333,1.0839497518892047,0.0
不使用 GP 产生的状态,100,100,7,133.1875,153.11111111111111,1.1564045974901491,0.0
不使用 GP 产生的状态,100,500,0,125.82638888888889,130.59027777777777,1.0421183327229495,0.0
不使用 GP 产生的状态,100,500,1,110.15972222222223,112.38194444444444,1.0203249939335381,0.0
不使用 GP 产生的状态,100,500,2,75.92361111111111,77.38888888888889,1.0265876251608559,3.5555555555555554
不使用 GP 产生的状态,100,500,3,106.51388888888889,108.77083333333333,1.0296946999301084,0.0
不使用 GP 产生的状态,100,500,4,148.4375,148.09722222222223,0.9999178480590128,3.5555555555555554
不使用 GP 产生的状态,100,500,5,128.70138888888889,133.79166666666666,1.041812823378291,0.0
不使用 GP 产生的状态,100,500,6,72.36805555555556,82.29861111111111,1.1546182631154858,3.5555555555555554
不使用 GP 产生的状态,100,500,7,109.11111111111111,112.74305555555556,1.041984691759489,0.0
不使用 GP 产生的状态,250,1,0,5.090277777777778,8.756944444444445,1.7991729630685889,24.11111111111111
不使用 GP 产生的状态,250,1,1,3.9375,8.409722222222221,2.2958294093033316,24.88888888888889
不使用 GP 产生的状态,250,1,2,3.1944444444444446,4.881944444444445,1.3750843269578967,24.88888888888889
不使用 GP 产生的状态,250,1,3,4.416666666666667,8.347222222222221,1.9022849891654239,23.77777777777778
不使用 GP 产生的状态,250,1,4,3.9305555555555554,5.840277777777778,1.388424514556,24.555555555555557
不使用 GP 产生的状态,250,1,5,4.743055555555555,8.930555555555555,1.941329329860582,24.11111111111111
不使用 GP 产生的状态,250,1,6,4.854166666666667,9.555555555555555,2.02639547068251,23.88888888888889
不使用 GP 产生的状态,250,1,7,3.5625,7.520833333333333,2.0719648656895777,24.666666666666668
不使用 GP 产生的状态,250,25,0,11.32638888888889,16.944444444444443,1.553646505010418,12.11111111111111
不使用 GP 产生的状态,250,25,1,5.652777777777778,7.006944444444445,0.8854106876847782,22.77777777777778
不使用 GP 产生的状态,250,25,2,16.680555555555557,21.631944444444443,1.6199661420069058,10.0
不使用 GP 产生的状态,250,25,3,7.395833333333333,10.25,1.4301744668354093,20.333333333333332
不使用 GP 产生的状态,250,25,4,2.4166666666666665,3.7569444444444446,1.5287083147985403,26.22222222222222
不使用 GP 产生的状态,250,25,5,5.75,7.069444444444445,1.7303551891345523,21.333333333333332
不使用 GP 产生的状态,250,25,6,8.38888888888889,16.1875,2.6382033532590894,21.0
不使用 GP 产生的状态,250,25,7,6.1875,10.23611111111111,1.7888874092854417,21.333333333333332
不使用 GP 产生的状态,250,100,0,11.01388888888889,12.4375,0.8831473594531023,18.333333333333332
不使用 GP 产生的状态,250,100,1,11.92361111111111,17.13888888888889,1.6912054248206438,17.11111111111111
不使用 GP 产生的状态,250,100,2,11.534722222222221,13.45138888888889,1.1661689085820102,15.222222222222221
不使用 GP 产生的状态,250,100,3,19.92361111111111,28.604166666666668,1.5065514280566672,9.666666666666666
不使用 GP 产生的状态,250,100,4,8.854166666666666,11.42361111111111,1.6081856264542747,20.444444444444443
不使用 GP 产生的状态,250,100,5,11.465277777777779,13.444444444444445,1.0488031541722524,14.11111111111111
