cohort,condition,model,iteration,mean_gap,point_low,point_high
P1,C111,Baseline,1,7.291063872152322,7.171873445273799,7.416875027696594
P1,C111,Baseline,25,4.381219251213907,4.284430133997253,4.4791819179112
P1,C111,Baseline,50,3.371784800806946,3.2913616685570384,3.4535567522920108
P1,C111,Baseline,75,2.8063745951029766,2.70457947414815,2.908452801627987
P1,C111,Baseline,100,2.3807432708584,2.2441006125626783,2.5228975013041883
P1,C111,Baseline,125,1.9358198046966204,1.7587582590510893,2.1125004931587976
P1,C111,Baseline,150,1.4275098541622941,1.2507870949670408,1.6031096860612528
P1,C111,Baseline,175,1.0323882242623326,0.8909182286724339,1.1747811306494902
P1,C111,Baseline,200,0.7515265015934894,0.653768768466127,0.8536483802688736
P1,C111,Baseline,225,0.5777253762587072,0.5075702931529215,0.6497791517470062
P1,C111,Baseline,250,0.48063262473976737,0.42680927964048476,0.5345556497910066
P1,C111,Baseline,275,0.4341065056214373,0.38754688271937504,0.4800794183934215
P1,C111,Baseline,300,0.40113037667065726,0.3573791941876037,0.4441576454151005
P1,C111,Baseline,325,0.3813075917825715,0.3391624780584982,0.4223646035029162
P1,C111,Baseline,350,0.36451964345291593,0.32350298514010933,0.40501024472159214
P1,C111,Baseline,375,0.35710120584172567,0.31714598522436127,0.3964049893072867
P1,C111,Baseline,400,0.35027236026053454,0.31163342883870043,0.38812210142571957
P1,C111,Baseline,425,0.340867126431203,0.30325159032233456,0.3780006535392688
P1,C111,Baseline,450,0.3314301208815148,0.29499327038078094,0.36779992729171596
P1,C111,Baseline,475,0.32928205397758203,0.2931326767005947,0.36529587398132307
P1,C111,Baseline,500,0.3266093931706123,0.2904731499632605,0.3625676692365798
P1,C111,Baseline,525,0.3219004200274391,0.28596325549449914,0.35801004964256133
P1,C111,Baseline,550,0.3177897133773008,0.28233993705284977,0.353757616579146
P1,C111,Baseline,575,0.3150639976559193,0.28010691009507266,0.35097829546705467
P1,C111,Baseline,600,0.3112705739945264,0.27648790636979814,0.34682569826705917
P1,C111,Baseline,625,0.3094728581290243,0.27505586813753397,0.34464555209930053
P1,C111,Baseline,650,0.30798725889912076,0.2736381748955059,0.3432025780222743
P1,C111,Baseline,675,0.30311576988870215,0.26891371792752505,0.33826694315113764
P1,C111,Baseline,700,0.2987641643219905,0.26349473884725944,0.33471697813486107
P1,C111,Baseline,725,0.2950216707814485,0.25909313810269635,0.3315290667905008
P1,C111,Baseline,750,0.29147147050477906,0.2562593048534342,0.3272453389511093
P1,C111,Baseline,775,0.28856620356471374,0.2525529693297172,0.3252099245081673
P1,C111,Baseline,800,0.28306217784952503,0.24767620629702244,0.3189508827492047
P1,C111,Baseline,825,0.2797868854803294,0.24402917721078826,0.31584537637213345
P1,C111,Baseline,850,0.2738182585046878,0.23911082054958877,0.30893223776745155
P1,C111,Baseline,875,0.26999692173850204,0.2356101325933826,0.30441429108446144
P1,C111,Baseline,900,0.2671825224708675,0.23264142926572387,0.3017527648605161
P1,C111,Baseline,925,0.2631224310246282,0.22882508302658097,0.2978158753595519
P1,C111,Baseline,950,0.26088707393416866,0.2267402287799149,0.29582868291981074
P1,C111,Baseline,975,0.25764818712483734,0.22371180765417067,0.2921264279730867
P1,C111,Baseline,1000,0.2533724526177765,0.22026325636325209,0.2873879208214608
P1,C111,Baseline,1025,0.2458561118324097,0.21356512606610858,0.27858987687744113
P1,C111,Baseline,1050,0.24202431128495683,0.21047196372334856,0.27395495111282553
P1,C111,Baseline,1075,0.2368492943418335,0.2061191080300733,0.2679799807897471
P1,C111,Baseline,1100,0.2335012941796942,0.2033859994429025,0.26422928061740064
P1,C111,Baseline,1125,0.23257009450864674,0.202557772441911,0.26328330337852934
P1,C111,Baseline,1150,0.2295284150794434,0.199800541862261,0.259942384736484
P1,C111,Baseline,1175,0.2284154570342388,0.19847203170343727,0.25902278039016197
P1,C111,Baseline,1200,0.2272130704406064,0.1971839990183187,0.2582219529573282
P1,C111,Baseline,1225,0.2254181714059586,0.1961879975370413,0.255265904793928
P1,C111,Baseline,1250,0.22397722134733997,0.19527493255498032,0.25280585525500493
P1,C111,Baseline,1275,0.2214440289476742,0.19353740253330867,0.24890028459198107
P1,C111,Baseline,1300,0.21937915615631687,0.1911281210408556,0.2470932674787967
P1,C111,Baseline,1325,0.2157200145038024,0.1881482579930719,0.24282874247625583
P1,C111,Baseline,1350,0.21459774691909406,0.18734712024182895,0.24130616190332266
P1,C111,Baseline,1375,0.21320084818715904,0.18589907373658363,0.2399881571640418
P1,C111,Baseline,1400,0.21275473639927503,0.18566940425911246,0.23946943245338506
P1,C111,Baseline,1425,0.21037632108106058,0.1830373525261358,0.23699601999930048
P1,C111,Baseline,1450,0.20900520683641727,0.18148283602072532,0.23589979144233034
P1,C111,Baseline,1475,0.2047174059127473,0.17738427910489704,0.23161440426014143
P1,C111,Baseline,1500,0.20270460839964163,0.17501286178379444,0.23003490777737803
P1,C111,Baseline,1525,0.20077042427678096,0.17324863533879187,0.2282200985048199
P1,C111,Baseline,1550,0.19944439403947056,0.17164083832348873,0.22719598063496296
