variant,mode,model,mean_gap,change_vs_legacy_pp,ci_low_pp,ci_high_pp
as,legacy,baseline,3.0900520891208423,0.0,0.0,0.0
as,legacy,81001,1.4783444089401043,0.0,0.0,0.0
as,legacy,81002,1.5104217121315424,0.0,0.0,0.0
as,legacy,81003,1.402995021147682,0.0,0.0,0.0
as,legacy,GP_mean,1.463920380739776,0.0,0.0,0.0
as,centered_fp32,baseline,3.0900520891208423,0.0,0.0,0.0
as,centered_fp32,81001,1.5025357546715064,0.024191345731402192,-0.005809609510033089,0.054476720165925564
as,centered_fp32,81002,1.5104217121315424,0.0,0.0,0.0
as,centered_fp32,81003,1.402995021147682,0.0,0.0,0.0
as,centered_fp32,GP_mean,1.4719841626502437,0.008063781910467397,-0.0019365365033443677,0.018158906721975194
as,centered_fp64,baseline,3.0900520891208423,0.0,0.0,0.0
as,centered_fp64,81001,1.4931597888265715,0.01481537988646725,-0.019416624244283486,0.04776094014754166
as,centered_fp64,81002,1.5104217121315424,0.0,0.0,0.0
as,centered_fp64,81003,1.402995021147682,0.0,0.0,0.0
as,centered_fp64,GP_mean,1.4688588407019318,0.004938459962155755,-0.006472208081427827,0.015920313382513894
mmas,legacy,baseline,0.09628131908665724,0.0,0.0,0.0
mmas,legacy,81001,0.1166652699216214,0.0,0.0,0.0
mmas,legacy,81002,0.1117645904774961,0.0,0.0,0.0
mmas,legacy,81003,0.11585467063642121,0.0,0.0,0.0
mmas,legacy,GP_mean,0.11476151034517956,0.0,0.0,0.0
mmas,centered_fp32,baseline,0.09628131908665724,0.0,0.0,0.0
mmas,centered_fp32,81001,0.11653175515130398,-0.0001335147703174222,-0.006256597140629767,0.004874987442520851
mmas,centered_fp32,81002,0.11822097443060439,0.006456383953108297,-0.0112311365711361,0.02588021616777301
mmas,centered_fp32,81003,0.11585467063642121,0.0,0.0,0.0
mmas,centered_fp32,GP_mean,0.11686913340610987,0.0021076230609302924,-0.0043393853020435086,0.008924052380070985
mmas,centered_fp64,baseline,0.09628131908665724,0.0,0.0,0.0
mmas,centered_fp64,81001,0.11921431473212687,0.0025490448105054686,-0.004956400251007572,0.010808535598931706
mmas,centered_fp64,81002,0.12071122012806938,0.008946629650573301,-0.008669163020749143,0.02786336983906979
mmas,centered_fp64,81003,0.11585467063642121,0.0,0.0,0.0
mmas,centered_fp64,GP_mean,0.11859340183220582,0.003831891487026257,-0.0030889640371212133,0.011562317581108506
