cohort,variant,condition,mode,model,instance_hash,replicate,gap,auc
P1,mmas,C111,legacy,baseline,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,0,0.08598890129642989,0.18421708726136357
P1,mmas,C111,legacy,baseline,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,1,0.08554817580743723,0.2493661719717161
P1,mmas,C111,legacy,baseline,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,2,0.29177280503329683,0.4528965876713094
P1,mmas,C111,legacy,baseline,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,3,0.14621628339206438,0.23989912185770637
P1,mmas,C111,legacy,baseline,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,4,0.08554817580741503,0.20263903588574939
P1,mmas,C111,legacy,baseline,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,0,0.04857640785789208,0.24666435660074917
P1,mmas,C111,legacy,baseline,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,1,0.03878990892263179,0.27083599774141043
P1,mmas,C111,legacy,baseline,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,2,0.05156449566503518,0.2947655523634631
P1,mmas,C111,legacy,baseline,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,3,0.06912120571935798,0.17601739632579552
P1,mmas,C111,legacy,baseline,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,4,0.060348550516020616,0.2260002192292437
P1,mmas,C111,legacy,baseline,c68fdea30da2719067238a8704e3f57eeb34f7e2c5767e624520f6a2a860ea50,0,0.016841872525708013,0.12013862292652655
P1,mmas,C111,legacy,baseline,c68fdea30da2719067238a8704e3f57eeb34f7e2c5767e624520f6a2a860ea50,1,0.016841872525708013,0.09968967539368262
P1,mmas,C111,legacy,baseline,c68fdea30da2719067238a8704e3f57eeb34f7e2c5767e624520f6a2a860ea50,2,0.01263099985839844,0.14841047223141426
P1,mmas,C111,legacy,baseline,c68fdea30da2719067238a8704e3f57eeb34f7e2c5767e624520f6a2a860ea50,3,0.01263099985839844,0.3123941224827953
P1,mmas,C111,legacy,baseline,c68fdea30da2719067238a8704e3f57eeb34f7e2c5767e624520f6a2a860ea50,4,-4.440892098500626e-14,0.2554354119829207
