task,field,count,failed,used_failed,max_abs_error
numeric-check-a4000-as-centered_fp32,PH.EdgeEta,10240000,0,0,8.884632687444771e-06
numeric-check-a4000-as-centered_fp32,PH.EdgeTau,10240000,0,0,1.3142674957278278e-05
numeric-check-a4000-as-centered_fp32,PH.NNRank,10240000,0,0,1.4601941078495884e-07
numeric-check-a4000-as-centered_fp32,PH.ColonyFreq,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp32,PH.SourceQuality,10240000,0,0,7.640234688466307e-06
numeric-check-a4000-as-centered_fp32,PH.ACOProg,10240000,0,0,2.9343274809967568e-08
numeric-check-a4000-as-centered_fp32,PH.Stagnation,10240000,0,0,2.975463864185457e-08
numeric-check-a4000-as-centered_fp32,PH.LSGain,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp32,PH.Origin,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp32,PH.TauHeadroom,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp32,PH.PreFreq,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp32,PH.PostFreq,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp32,TR.RTau,151342,0,0,7.72227123568836e-06
numeric-check-a4000-as-centered_fp32,TR.REta,151342,0,0,7.938555243391932e-06
numeric-check-a4000-as-centered_fp32,TR.BaseConf,151342,0,0,7.731531507682021e-06
numeric-check-a4000-as-centered_fp32,TR.DistRank,151342,0,0,1.8120769507135037e-07
numeric-check-a4000-as-centered_fp32,TR.Entropy,151342,0,0,5.960464477539062e-07
numeric-check-a4000-as-centered_fp32,TR.ConstructProg,151342,0,0,2.9025909231705782e-08
numeric-check-a4000-as-centered_fp32,TR.ACOProg,151342,0,0,2.9343274809967568e-08
numeric-check-a4000-as-centered_fp32,TR.Stagnation,151342,0,0,5.960464477539063e-08
numeric-check-a4000-as-centered_fp32,TR.Tau,151342,0,0,0.0
numeric-check-a4000-as-centered_fp32,TR.Distance,151342,0,0,0.0
numeric-check-a4000-as-centered_fp32,TR.MeanTau,151342,0,0,2.384185791015625e-07
numeric-check-a4000-as-centered_fp32,TR.MeanDistance,151342,0,0,9.608268736194248e-08
numeric-check-a4000-as-centered_fp32,TR.Size,151342,0,0,0.0
numeric-check-a4000-as-centered_fp32,TR.FeasibleCount,151342,0,0,0.0
numeric-check-a4000-as-centered_fp32,TR.MutualRank,151342,0,0,7.86177447587022e-08
numeric-check-a4000-as-centered_fp32,TR.TurnCos,151342,0,0,2.653311690359317e-07
numeric-check-a4000-as-centered_fp64,PH.EdgeEta,10240000,0,0,2.9802321499516893e-08
numeric-check-a4000-as-centered_fp64,PH.EdgeTau,10240000,0,0,8.881783408140393e-08
numeric-check-a4000-as-centered_fp64,PH.NNRank,10240000,0,0,1.4601941078495884e-07
numeric-check-a4000-as-centered_fp64,PH.ColonyFreq,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp64,PH.SourceQuality,10240000,0,0,2.980025470833425e-08
numeric-check-a4000-as-centered_fp64,PH.ACOProg,10240000,0,0,2.9343274809967568e-08
numeric-check-a4000-as-centered_fp64,PH.Stagnation,10240000,0,0,2.975463864185457e-08
numeric-check-a4000-as-centered_fp64,PH.LSGain,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp64,PH.Origin,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp64,PH.TauHeadroom,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp64,PH.PreFreq,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp64,PH.PostFreq,10240000,0,0,0.0
numeric-check-a4000-as-centered_fp64,TR.RTau,151921,0,0,1.7763565238559256e-07
numeric-check-a4000-as-centered_fp64,TR.REta,151921,0,0,2.980216451398121e-08
numeric-check-a4000-as-centered_fp64,TR.BaseConf,151921,0,0,7.731531507682021e-06
numeric-check-a4000-as-centered_fp64,TR.DistRank,151921,0,0,1.8120769507135037e-07
numeric-check-a4000-as-centered_fp64,TR.Entropy,151921,0,0,5.960464477539062e-07
numeric-check-a4000-as-centered_fp64,TR.ConstructProg,151921,0,0,2.9025909231705782e-08
numeric-check-a4000-as-centered_fp64,TR.ACOProg,151921,0,0,2.9343274809967568e-08
numeric-check-a4000-as-centered_fp64,TR.Stagnation,151921,0,0,5.960464477539063e-08
numeric-check-a4000-as-centered_fp64,TR.Tau,151921,0,0,0.0
numeric-check-a4000-as-centered_fp64,TR.Distance,151921,0,0,0.0
