cohort,variant,mode,gpu_model,instances,tasks,complete_timed_tasks,resumed_or_incomplete_timing,median_seconds,min_seconds,max_seconds
N1,as,centered_fp32,NVIDIA RTX 4000 Ada Generation,8,2,2,0,1255.0678578279912,1208.6032412275672,1301.5324744284153
N1,as,centered_fp32,NVIDIA RTX A5000,8,18,18,0,1542.2133539819624,1425.9545737910084,1599.7355509879999
N1,as,centered_fp64,NVIDIA RTX 4000 Ada Generation,8,2,2,0,1104.6885841083713,1064.8017498096451,1144.5754184070975
N1,as,centered_fp64,NVIDIA RTX A5000,8,18,18,0,1351.002941902727,1246.2928917920217,1403.2786940219812
N1,as,legacy,NVIDIA RTX 4000 Ada Generation,8,2,2,0,1090.965158072766,1051.6657908307388,1130.264525314793
N1,as,legacy,NVIDIA RTX A5000,8,18,18,0,1340.236877751071,1235.7641013721004,1409.8758992222138
N1,mmas,centered_fp32,NVIDIA RTX 4000 Ada Generation,8,2,2,0,239.68852161476389,237.56803943309933,241.80900379642844
N1,mmas,centered_fp32,NVIDIA RTX A5000,8,18,18,0,269.4875646692235,259.74725964665413,280.8553027822636
N1,mmas,centered_fp64,NVIDIA RTX 4000 Ada Generation,8,2,2,0,247.1838888633065,245.46361412107944,248.90416360553354
N1,mmas,centered_fp64,NVIDIA RTX A5000,8,18,17,1,286.2976562809199,273.5180218638852,301.7312163300812
N1,mmas,legacy,NVIDIA RTX 4000 Ada Generation,8,2,2,0,233.41375388437882,232.58256287127733,234.2449448974803
N1,mmas,legacy,NVIDIA RTX A5000,8,18,17,1,262.7461559828371,250.20254076691344,274.0475445026532
P1,mmas,legacy,NVIDIA RTX A5000,32,40,39,1,423.26521919388324,306.68853882700205,505.09559925086796
