task,cohort,variant,condition,mode,instances,gpu_model,host,visible_gpu,wall_seconds_last_attempt,full_horizon_timing,diagnostic_bytes
diagnosis_dev-mmas-C000-s00-b000,P1,mmas,C000,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,398.6429085675627,True,889244581
diagnosis_dev-mmas-C000-s01-b000,P1,mmas,C000,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,395.72619290836155,True,883808711
diagnosis_dev-mmas-C000-s02-b000,P1,mmas,C000,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,393.132876874879,True,884392898
diagnosis_dev-mmas-C000-s03-b000,P1,mmas,C000,legacy,32,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,372.85258646216244,True,890478897
diagnosis_dev-mmas-C000-s04-b000,P1,mmas,C000,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,394.85812283027917,True,887985217
diagnosis_dev-mmas-C001-s00-b000,P1,mmas,C001,legacy,32,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,311.8671984770335,True,845495712
diagnosis_dev-mmas-C001-s01-b000,P1,mmas,C001,legacy,32,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,363.18448625225574,True,845026763
diagnosis_dev-mmas-C001-s02-b000,P1,mmas,C001,legacy,32,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,306.68853882700205,True,844452360
diagnosis_dev-mmas-C001-s03-b000,P1,mmas,C001,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,329.1615234622732,True,844217160
diagnosis_dev-mmas-C001-s04-b000,P1,mmas,C001,legacy,32,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,362.10505405208096,True,846930662
diagnosis_dev-mmas-C010-s00-b000,P1,mmas,C010,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,423.26521919388324,True,1273787537
diagnosis_dev-mmas-C010-s01-b000,P1,mmas,C010,legacy,32,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,396.72863848041743,True,1268044868
diagnosis_dev-mmas-C010-s02-b000,P1,mmas,C010,legacy,32,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,393.36720969108865,True,1282336508
diagnosis_dev-mmas-C010-s03-b000,P1,mmas,C010,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,419.99680406879634,True,1273154870
diagnosis_dev-mmas-C010-s04-b000,P1,mmas,C010,legacy,32,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,396.4072608239949,True,1268158178
diagnosis_dev-mmas-C011-s00-b000,P1,mmas,C011,legacy,32,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,362.3039034726098,True,1204522065
diagnosis_dev-mmas-C011-s01-b000,P1,mmas,C011,legacy,32,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,391.1960301948711,True,1201398199
diagnosis_dev-mmas-C011-s02-b000,P1,mmas,C011,legacy,32,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,385.1051107891835,True,1199256943
diagnosis_dev-mmas-C011-s03-b000,P1,mmas,C011,legacy,32,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,385.3241499736905,True,1200049121
