variant,mode,model,mean_gap,delta_pp,ci_low_pp,ci_high_pp,wins,ties,losses,worst10_delta_pp,mean_auc,interval_scope
as,legacy,baseline,3.0900520891208423,0.0,0.0,0.0,0,32,0,0.0,3.281855147367402,pointwise descriptive; not multiplicity adjusted
as,legacy,81001,1.4783444089401043,-1.6117076801807382,-1.69731581923266,-1.5270877863327221,32,0,0,-1.1974108314218268,1.6173705046623144,pointwise descriptive; not multiplicity adjusted
as,legacy,81002,1.5104217121315424,-1.5796303769893,-1.6747916777792402,-1.4853648507048574,32,0,0,-1.196586795747041,1.6782242560357177,pointwise descriptive; not multiplicity adjusted
as,legacy,81003,1.402995021147682,-1.6870570679731602,-1.778574896321197,-1.595479613081026,32,0,0,-1.3050194223730094,1.555635469201534,pointwise descriptive; not multiplicity adjusted
as,legacy,GP_mean,1.463920380739776,-1.6261317083810662,-1.707559111382993,-1.5456513974173185,32,0,0,-1.261624594012909,1.6170767432998554,pointwise descriptive; not multiplicity adjusted
as,centered_fp32,baseline,3.0900520891208423,0.0,0.0,0.0,0,32,0,0.0,3.281855147367402,pointwise descriptive; not multiplicity adjusted
as,centered_fp32,81001,1.5025357546715064,-1.587516334449336,-1.666406018621015,-1.50725132619882,32,0,0,-1.2038123659485223,1.6318989547828422,pointwise descriptive; not multiplicity adjusted
as,centered_fp32,81002,1.5104217121315424,-1.5796303769893,-1.6747916777792402,-1.4853648507048574,32,0,0,-1.196586795747041,1.6782242560357177,pointwise descriptive; not multiplicity adjusted
as,centered_fp32,81003,1.402995021147682,-1.6870570679731602,-1.778574896321197,-1.595479613081026,32,0,0,-1.3050194223730094,1.555635469201534,pointwise descriptive; not multiplicity adjusted
as,centered_fp32,GP_mean,1.4719841626502437,-1.6180679264705988,-1.698276833526803,-1.5382357062209966,32,0,0,-1.258561985625977,1.621919560006698,pointwise descriptive; not multiplicity adjusted
as,centered_fp64,baseline,3.0900520891208423,0.0,0.0,0.0,0,32,0,0.0,3.281855147367402,pointwise descriptive; not multiplicity adjusted
as,centered_fp64,81001,1.4931597888265715,-1.5968923002942708,-1.6887779481529026,-1.5022976479962764,32,0,0,-1.1344354124875788,1.6381345472890074,pointwise descriptive; not multiplicity adjusted
as,centered_fp64,81002,1.5104217121315424,-1.5796303769893,-1.6747916777792402,-1.4853648507048574,32,0,0,-1.196586795747041,1.6782242560357177,pointwise descriptive; not multiplicity adjusted
as,centered_fp64,81003,1.402995021147682,-1.6870570679731602,-1.778574896321197,-1.595479613081026,32,0,0,-1.3050194223730094,1.555635469201534,pointwise descriptive; not multiplicity adjusted
as,centered_fp64,GP_mean,1.4688588407019318,-1.6211932484189104,-1.7065101532898257,-1.5365540523187837,32,0,0,-1.23371420575622,1.6239980908420864,pointwise descriptive; not multiplicity adjusted
mmas,legacy,baseline,0.09628131908665724,0.0,0.0,0.0,0,32,0,0.0,0.27226462906209264,pointwise descriptive; not multiplicity adjusted
mmas,legacy,81001,0.1166652699216214,0.020383950834964165,0.0065829926962756476,0.0342060876200881,7,4,21,0.0868393722381644,0.2577836129733031,pointwise descriptive; not multiplicity adjusted
mmas,legacy,81002,0.1117645904774961,0.015483271390838854,0.0003706487376639971,0.03125930957055138,10,6,16,0.09827057014420659,0.2511512024186413,pointwise descriptive; not multiplicity adjusted
mmas,legacy,81003,0.11585467063642121,0.019573351549763973,0.00297117931002034,0.03720687351070401,10,5,17,0.11793792995256958,0.26063305486330457,pointwise descriptive; not multiplicity adjusted
mmas,legacy,GP_mean,0.11476151034517956,0.018480191258522332,0.0069063633543875,0.02988256147958221,6,6,20,0.07838324917699832,0.2565226234184163,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp32,baseline,0.09628131908665724,0.0,0.0,0.0,0,32,0,0.0,0.27226462906209264,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp32,81001,0.11653175515130398,0.020250436064646743,0.004959196941408228,0.03540225611339948,7,6,19,0.09702033550427203,0.2575252037569551,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp32,81002,0.11822097443060439,0.02193965534394715,0.00685550033214331,0.038661983056770474,7,10,15,0.11580318399120992,0.2538901496565221,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp32,81003,0.11585467063642121,0.019573351549763973,0.00297117931002034,0.03720687351070401,10,5,17,0.11793792995256958,0.26063305486330457,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp32,GP_mean,0.11686913340610987,0.02058781431945262,0.008872165027974466,0.03324145599745016,5,9,18,0.08592130174815304,0.25734946942559395,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp64,baseline,0.09628131908665724,0.0,0.0,0.0,0,32,0,0.0,0.27226462906209264,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp64,81001,0.11921431473212687,0.022932995645469634,0.005099900416808186,0.04066157233731594,6,7,19,0.12000112006651298,0.26039515224122256,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp64,81002,0.12071122012806938,0.024429901041412155,0.010109816904565382,0.0398455630577368,5,10,17,0.10701667773412638,0.2562135727628353,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp64,81003,0.11585467063642121,0.019573351549763973,0.00297117931002034,0.03720687351070401,10,5,17,0.11793792995256958,0.26063305486330457,pointwise descriptive; not multiplicity adjusted
mmas,centered_fp64,GP_mean,0.11859340183220582,0.022312082745548585,0.00965750802595517,0.03597467693055415,5,6,21,0.09229083836836109,0.2590805932891208,pointwise descriptive; not multiplicity adjusted
