condition,model,pre_gap,post_gap,ls_gain_pp,ls_retention,ls_improved_fraction,ph_saturation,ph_raw_std,ph_tanh_std,source_age,source_switch_fraction,source_repeat_duration_end,source_ib_fraction,source_rb_fraction,source_gb_fraction,floor_fraction,restart_count,would_restart_count,ls_moves_per_ant,ls_checks_per_ant,tr_entropy_probe,tr_max_probability_probe,tr_greedy_fallback_probe,deposit_ad_same_source_budget,deposit_cv,tau_relative_l1_after_deposit,tau_above_nominal_fraction_after_deposit,restarts_per_solve
C111,baseline,10.364141674232204,2.0563546058048425,8.307787068427361,0.9328751075781251,0.8995248046875001,0.0,0.0,0.0,444.43703000000005,0.2974025,82.7215625,0.24309250000000002,0.35518625,0.40172125000000003,0.8389695498198271,0.0345625,0.0345625,42.027538359375,22654.07192734375,0.20592394802842764,0.9123595239103144,0.0030161691542288558,1.6336483876298065e-08,0.0,9.874378225732288e-05,0.00321483003320073,6.9125
C111,81001,8.759311635888455,1.6601549092215029,7.09915672666695,0.947333299921875,0.8905923828125001,0.1896001425,0.7476676613209456,0.1813317459135123,454.72752,0.24229750000000003,89.17090625,0.2541375,0.32019000000000003,0.4256725,0.8447789955604822,0.03603125,0.03603125,33.93649363281251,22143.647293750004,0.1824382766551592,0.9217899191036759,0.0020638992537313433,0.020642992853049373,0.03570060699339806,7.031139543399143e-05,0.005343225007228388,7.20625
C111,81002,6.318569215517147,1.310706744712682,5.007862470804466,0.96166685890625,0.8047170703125001,0.9245731224999999,0.905575495077302,0.12131596694665374,448.42396125,0.19957375000000002,94.21090625,0.26183624999999994,0.29780124999999996,0.4403625,0.8462288615945727,0.03728125,0.03728125,24.27543953125,21548.13929140625,0.16054041263141294,0.9274256401486806,0.001566386815920398,0.012733486927094601,0.024687604865726142,6.283880477501452e-05,0.005779073071516167,7.45625
C111,81003,8.892589630957195,1.6950544436376571,7.197535187319536,0.946137925234375,0.8925508593750001,0.018483905,0.4859191295530164,0.15742552657612077,452.1758125,0.24676374999999998,89.1569375,0.25221875,0.32223625,0.425545,0.844286159209907,0.03590625,0.03590625,34.60581015625,22186.96358671875,0.18442429902906038,0.9209704241448224,0.0021746735074626867,0.022163318928304226,0.0371632474022524,7.455020164842988e-05,0.004621940273581989,7.18125
C111,GP_mean,7.990156827454264,1.5553053658572809,6.434851461596984,0.9517126946875001,0.8626201041666666,0.37755239,0.713054095317088,0.15335774647876224,451.7757645833334,0.22954500000000003,90.84625000000001,0.25606416666666665,0.3134091666666666,0.43052666666666667,0.8450980054549873,0.03640625,0.03640625,30.939247773437497,21959.583390625,0.17580099610521083,0.9233953277990598,0.0019349865257048092,0.0185132662361494,0.03251715308712553,6.923346728581195e-05,0.005248079450775515,7.28125
C110,baseline,17.49620138455389,4.008296693903665,13.487904690650224,0.8676852260156249,0.9607235937499999,0.0,0.0,0.0,0.0,0.74105875,31.55128125,1.0,0.0,0.0,0.815107785627246,0.0125,0.0125,78.60314742187501,25071.978753125,0.3020313834340964,0.876508093593872,0.007894123134328359,1.6353747748734765e-08,0.0,0.000253528953100818,0.003895551924745013,2.5
C110,81001,8.916961242239442,1.823387950751124,7.093573291488319,0.9467955333593749,0.89574609375,0.19555283999999998,0.7540635137699502,0.18790933327487266,0.0,0.29942125,66.36721875,1.0,0.0,0.0,0.8475904412250966,0.03084375,0.03084375,34.170954882812495,22174.44972421875,0.1841914612538654,0.9213266961636203,0.002353467039800995,0.022954899100656574,0.03929042742259997,7.713469159640673e-05,0.00533077012233422,6.16875
C110,81002,6.246898390217062,1.4100271086429708,4.836871281574091,0.9632600974218749,0.803312265625,0.94522775,0.8234632090123266,0.1158873913480688,0.0,0.21962500000000001,76.29734375,1.0,0.0,0.0,0.8498021313045174,0.03353125,0.03353125,23.3025436328125,21489.201094531254,0.1602995652217716,0.9275613308750412,0.001566386815920398,0.012549539524528664,0.02480510157983683,6.530117005458164e-05,0.005766275212115774,6.70625
C110,81003,9.16489384335632,1.884614413730691,7.280279429625627,0.944541651484375,0.8972315624999999,0.019551355,0.5090918688705319,0.16924955168659722,0.0,0.31486375000000005,65.621625,1.0,0.0,0.0,0.8466475052144379,0.03021875,0.03021875,35.44930390625,22259.5646859375,0.1878854637246018,0.9198953598308689,0.002326259328358209,0.025210192835460485,0.04206938984640617,8.389593981917403e-05,0.004728862326643336,6.04375
C110,GP_mean,8.109584491937607,1.7060098243749284,6.403574667562679,0.9515324274218749,0.8654299739583333,0.38677731500000007,0.6955395305509363,0.15768209210317954,0.0,0.27797000000000005,69.42872916666666,1.0,0.0,0.0,0.8480133592480172,0.03153125,0.03153125,30.97426747395833,21974.405168229165,0.17745883006674626,0.9229277956231767,0.0020820377280265333,0.02023821048688191,0.03538830628294765,7.544393382338746e-05,0.005275302553697777,6.3062499999999995
C101,baseline,8.026809304577132,1.9330459962072104,6.09376330836992,0.9418650971093748,0.7028813671875,0.0,0.0,0.0,294.80041374999996,0.296985,97.1335625,0.2828725000000001,0.28174375,0.43538375000000007,0.0,0.0399375,0.0399375,35.0982145703125,22182.871665625004,0.18856680171040507,0.9148115142385402,0.002751865671641791,1.6382428661409632e-08,0.0,0.00010171000963895902,0.0032049640325426975,7.9875
C101,81001,6.0024289026280035,1.4955476916954917,4.506881210932511,0.9589542915625,0.6643487109375,0.3222253975,0.7974335646704483,0.2253421693345371,274.62680874999995,0.2232975,103.410125,0.28554625,0.29263375,0.42182,0.0,0.04084375,0.04084375,25.351468789062498,21559.555568750002,0.16288236497295341,0.925106206909937,0.0017335199004975125,0.020164200070819236,0.03278543318396912,7.019607183250703e-05,0.005042566850118147,8.16875
C101,81002,4.806786976983825,1.3059216338327007,3.500865343151125,0.9676259159374999,0.635043203125,0.9164982949999999,0.941331273865914,0.11555576604514466,270.91616625,0.18555375000000002,109.96084375,0.28824,0.2890725,0.4226875,0.0,0.04153125,0.04153125,19.805497421875,21248.923690625,0.14955183591348264,0.9290830566276826,0.0013098569651741293,0.012562730195166528,0.022928640852252692,6.283118269169544e-05,0.005598747245735252,8.30625
C101,81003,6.1712472353047,1.5345207284294056,4.636726506875295,0.9575936177343749,0.663771640625,0.019221485,0.44427220935192757,0.14325774119860477,269.89289,0.228335,103.11815625,0.2871825,0.28771625,0.42510124999999993,0.0,0.0413125,0.0413125,26.133252109375004,21609.852582812502,0.1652914669446434,0.9240800631059675,0.0018695584577114429,0.019878502806933627,0.03225269077567666,7.293823182216841e-05,0.005007376319803788,8.2625
C101,GP_mean,5.660154371638844,1.4453300179858661,4.214824353652977,0.9613912750781249,0.6543878515624999,0.41931505916666667,0.7276790159627633,0.16138522552609552,271.811955,0.21239541666666667,105.49637500000001,0.2869895833333333,0.2898075,0.4232029166666667,0.0,0.041229166666666664,0.041229166666666664,23.76340610677083,21472.777280729166,0.15924188927702648,0.9260897755478623,0.0016376451077943614,0.017535144357639795,0.029322254937299494,6.865516211545696e-05,0.005216230138552395,8.245833333333334
C100,baseline,14.145270614733139,3.430156955310522,10.715113659422617,0.8918796522656249,0.8440259765625001,0.0,0.0,0.0,0.0,0.6492925,56.329625,1.0,0.0,0.0,0.0,0.026625,0.026625,63.925172539062494,24103.804964062496,0.25536139001686575,0.8898930121500761,0.006325792910447761,1.6000176225707077e-08,0.0,0.00021253459506013133,0.0036039206522497738,5.325
C100,81001,7.515070497846081,1.954584120379303,5.560486377466777,0.948129439765625,0.693969375,0.3295078275,0.9450610540055836,0.25985107733822327,0.0,0.32089125,103.996,1.0,0.0,0.0,0.0,0.05084375,0.05084375,31.813956718749996,21959.433389843747,0.1728750795378036,0.9218087269528059,0.00246035447761194,0.028132445450091095,0.04508079541018574,8.756195842144821e-05,0.004967364953788173,10.16875
C100,81002,6.266185203595809,1.74794933660428,4.518235866991528,0.9570335128906249,0.670937421875,0.9253860075,0.9414977171602135,0.1429600575013084,0.0,0.270345,110.1033125,1.0,0.0,0.0,0.0,0.05553125,0.05553125,26.0945540625,21638.607314843746,0.1577240679555359,0.9264440711170947,0.001970615671641791,0.017068936142539615,0.031084355077827197,7.857291008707466e-05,0.005559742993449586,11.10625
C100,81003,7.851679843806619,2.0246119579788693,5.827067885827749,0.945314832265625,0.7018412109375001,0.025366814999999997,0.567090682150263,0.18544637250756757,0.0,0.3389375,101.8245,1.0,0.0,0.0,0.0,0.04996875,0.04996875,33.4453848046875,22069.905413281253,0.17699926236124197,0.9202921002117201,0.0025478078358208956,0.02837590659858599,0.045548261669161594,9.372790784374139e-05,0.0051202140599607175,9.99375
C100,GP_mean,7.210978515082837,1.909048471654151,5.301930043428685,0.9501592616406251,0.6889160026041667,0.42675355000000004,0.8178831511053534,0.1960858357823664,0.0,0.31005791666666666,105.3079375,1.0,0.0,0.0,0.0,0.052114583333333325,0.052114583333333325,30.451298528645836,21889.31537265625,0.16919946995152713,0.9228482994272069,0.002326259328358209,0.024525762730405562,0.04057113738572484,8.662092545075477e-05,0.005215774002399492,10.422916666666666
C011,baseline,5.042605478998526,0.8227695425524396,4.219835936446088,0.97694070484375,0.8448672656249999,0.0,0.0,0.0,1419.5448387499998,0.040060000000000005,1432.8078125,0.0322,0.0655975,0.9022025,0.892013206442818,0.0,0.20121875,15.851179609375,21033.08888828125,0.1610265534553497,0.9287530708376206,0.0008065143034825871,1.618043928760035e-08,0.0,4.4978524054207034e-05,0.0032304045902750776,0.0
C011,81001,4.816122069365622,0.7806704073537906,4.035451662011831,0.9789784146874999,0.843543203125,0.022226820000000005,0.2716784900558267,0.05573824024517764,1466.05813625,0.030401250000000005,1480.1108125,0.0322,0.058155000000000005,0.909645,0.8931609870381654,0.0,0.2035625,14.722389882812502,20964.0635125,0.1575573128268408,0.9301533091876022,0.0006665889303482587,0.0041760658016752866,0.006464404462260526,4.16805753581037e-05,0.005613283033729152,0.0
C011,81002,3.0277427327851534,0.60212324477678,2.425619488008373,0.98768518421875,0.74380421875,0.974812305,0.6542483848634009,0.020331070871500607,1431.76442125,0.023673749999999997,1446.15134375,0.0322,0.0545575,0.9132425000000001,0.8936201666109264,0.0,0.2033125,8.5411923046875,20555.629588281252,0.14448510110455545,0.9329449816769688,0.00041200248756218904,0.002308918951541475,0.004948845562203644,3.962713238992409e-05,0.006777336264568939,0.0
C011,81003,4.8214243540408015,0.7819957154900239,4.039428638550777,0.9788354974218749,0.8440014453125,0.0024011325,0.11412667560395745,0.037357058441963145,1407.32393625,0.032081250000000006,1421.85709375,0.0322,0.06071249999999999,0.9070874999999998,0.8930101325586438,0.0,0.20278125,14.791278359375001,20967.66119609375,0.158143191304266,0.9299127533683635,0.0007307213930348259,0.006963878567885541,0.010272131499918067,4.426406619521903e-05,0.004586569656726386,0.0
C011,GP_mean,4.221763052063858,0.7215964558735316,3.500166596190327,0.981833032109375,0.8104496223958333,0.3331467525,0.34668451684106166,0.03780878985288046,1435.04883125,0.02871875,1449.3730833333334,0.0322,0.05780833333333334,0.9099916666666668,0.8932637620692451,0.0,0.20321874999999998,12.684953515625002,20829.118098958334,0.15339520174522078,0.9310036814109781,0.0006031042703150911,0.004482954440367434,0.0072284605081274125,4.185725798108228e-05,0.005659062985008159,0.0
C010,baseline,12.078448343861382,2.6437953040869946,9.434653039774387,0.914204332109375,0.9062278515625,0.0,0.0,0.0,0.0,0.4234775,643.18015625,1.0,0.0,0.0,0.8533037744015455,0.0,0.11690625,51.6445094140625,23350.267133593752,0.24555947601796516,0.8973252761776301,0.005068407960199005,1.7188735374991783e-08,0.0,0.00017398914760791243,0.003918738222714085,0.0
C010,81001,5.006853193562112,0.8791597163884083,4.127693477173703,0.9779737314843749,0.8459199609375,0.028252560000000003,0.2881994771850044,0.06141868910554635,0.0,0.049022500000000004,755.9948125,1.0,0.0,0.0,0.8924679342992604,0.0,0.192375,15.338717812499999,21005.9644296875,0.1583315562173441,0.929961430047846,0.000790967039800995,0.004932286710212501,0.0077682299215554515,4.3560280137499105e-05,0.005690410796717815,0.0
C010,81002,3.1310686331152366,0.6960375306181295,2.435031102497107,0.9874963169531251,0.7372625,0.9660856699999999,0.6667395086792002,0.025511883426764737,0.0,0.03344249999999999,732.90571875,1.0,0.0,0.0,0.8933579318784177,0.0,0.1915,8.646546640625,20562.6902765625,0.14434486770584096,0.9330720477412277,0.0004741915422885572,0.002700500977595977,0.005869135545763584,4.0485690485540194e-05,0.006763152548878852,0.0
C010,81003,5.100471749944656,0.9294084816989238,4.171063268245732,0.97746737390625,0.8461775781249999,0.0031051774999999995,0.1324448737001638,0.04396688322541762,0.0,0.05246375,750.62090625,1.0,0.0,0.0,0.8920789031889289,0.0,0.19225,15.6145164453125,21022.66185859375,0.15916152676253756,0.9296214769123208,0.00078125,0.007930763620927001,0.011892788401797222,4.683344222474758e-05,0.004664928613445796,0.0
C010,GP_mean,4.412797858874001,0.8348685762351538,3.577929282638847,0.9809791407812499,0.8097866796875001,0.33248113583333333,0.3624612865214561,0.04363248525257623,0.0,0.04497625,746.5071458333334,1.0,0.0,0.0,0.8926349231222023,0.0,0.19204166666666667,13.199926966145831,20863.772188281248,0.15394598356190756,0.9308849849004648,0.0006821361940298507,0.00518785043624516,0.008510051289705419,4.362647094926228e-05,0.005706163986347488,0.0
C001,baseline,1.4844541146738939,0.7750735817900236,0.70938053288387,0.993492918125,0.5356483203125,0.0,0.0,0.0,2271.44383,0.032862499999999996,2287.65865625,0.0322,0.02192375,0.94587625,0.0,0.0,0.22878125,3.9508969140625,20245.56568984375,0.13927826181120262,0.9324821833983749,0.00037702114427860697,1.5900906928561527e-08,0.0,4.3907129813220074e-05,0.003220943628550634,0.0
C001,81001,1.281091929447341,0.725404926880254,0.5556870025670869,0.995338915390625,0.5219458203125,0.2288163925,0.16952914099727237,0.05179966590485595,2289.70958875,0.02396375,2305.58815625,0.0322,0.02099125,0.9468087499999999,0.0,0.0,0.23071875,2.9190101171874994,20180.41301015625,0.13632975246213355,0.9336677854405473,0.0002701337064676617,0.003304493809542025,0.004860575973838353,4.073631770494537e-05,0.005228884634941524,0.0
C001,81002,1.200511641501531,0.7438121099318589,0.45669953156967186,0.99625334625,0.523613203125,0.9671617900000001,0.7211090068770195,0.016324558592992186,2309.49282125,0.0196025,2326.2541875,0.0322,0.0218825,0.9459175,0.0,0.0,0.23146875,2.3526940234375,20149.4389359375,0.1328360918160882,0.9347486736720375,0.00019628420398009951,0.002237024736388476,0.004232441943695962,3.9375885207443935e-05,0.006733024382097528,0.0
C001,81003,1.3580969342385818,0.7643819263045043,0.5937150079340776,0.995113970390625,0.524698359375,0.0020519875,0.05521014034624865,0.017918320710177384,2267.6829387499997,0.02408875,2283.25128125,0.0322,0.021545,0.9462549999999998,0.0,0.0,0.2305625,3.06452546875,20189.80507578125,0.13655926572648816,0.9336098839556515,0.0002681902985074627,0.0037180001271431523,0.005455671295354573,4.107078050803127e-05,0.005525981689747655,0.0
C001,GP_mean,1.2799001683958182,0.7445329877055391,0.5353671806902788,0.9955687440104166,0.5234191276041666,0.39934339,0.3152827627401802,0.028680848402675166,2288.961782916667,0.022551666666666664,2305.0312083333333,0.0322,0.021472916666666668,0.9463270833333334,0.0,0.0,0.2309166666666667,2.778743203125,20173.219007291667,0.13524170333490332,0.9340087810227454,0.0002448694029850746,0.003086506224357884,0.004849563070962962,4.039432780680686e-05,0.005829296902262236,0.0
C000,baseline,4.822599889111238,1.4261856372263981,3.3964142518848415,0.9655345821093749,0.6182582812499999,0.0,0.0,0.0,0.0,0.19768,1715.6898125,1.0,0.0,0.0,0.0,0.0,0.1874375,20.31402796875,21317.506315624996,0.17317405007103936,0.9199275695719404,0.0022349191542288555,1.548668725242946e-08,0.0,9.727314478615757e-05,0.0036643697843448094,0.0
C000,81001,1.3864768618176544,0.7635964641745565,0.6228803976430974,0.99477677546875,0.5369679296875001,0.1447853975,0.2744339015450583,0.07616732704273882,0.0,0.02939,2264.13278125,1.0,0.0,0.0,0.0,0.0,0.229625,3.2708451953125,20203.58354375,0.13671267756148983,0.9335461870474039,0.00029928482587064675,0.00370479645689587,0.005399749152126649,4.183033920694249e-05,0.005170699483544203,0.0
C000,81002,1.2592697246086957,0.7758208541937149,0.4834488704149806,0.9960309574999999,0.5251278515625001,0.9698383075,0.7127952574555462,0.017851230156584512,0.0,0.02221375,2289.116,1.0,0.0,0.0,0.0,0.0,0.23078125,2.4841434765625,20158.11665234375,0.13286373972686655,0.9348267387878207,0.00022154850746268658,0.0023364340754446094,0.0046121142846362,4.001230726262627e-05,0.006769019132792949,0.0
C000,81003,1.4683469266391618,0.7829769675274378,0.6853699591117239,0.9942116478906248,0.5338140234375,0.0024941025000000004,0.06803191913627653,0.021984643345595713,0.0,0.03306625,2218.07084375,1.0,0.0,0.0,0.0,0.0,0.22796875,3.6114325390624997,20226.360618749997,0.13728051962941085,0.933389101683571,0.00032454912935323384,0.0043592521058898066,0.0065945590595993435,4.2735931405313414e-05,0.0055625383852281685,0.0
C000,GP_mean,1.3713645043551705,0.7741314286319032,0.5972330757232673,0.9950064602864582,0.5319699348958333,0.3723726025,0.35175369271229373,0.03866773351497301,0.0,0.028223333333333336,2257.106541666667,1.0,0.0,0.0,0.0,0.0,0.22945833333333332,3.1221404036458336,20196.02027161458,0.13561897897258907,0.9339206758395985,0.00028179415422885574,0.0034668275460767615,0.005535474165454064,4.152619262496072e-05,0.005834085667188441,0.0
