condition,model,sampling,iteration,pre_gap,post_gap,ls_gain_pp,ls_retention,ls_improved_fraction,ph_saturation,ph_raw_std,ph_tanh_std,source_age,source_switch_fraction,source_repeat_duration_end,source_ib_fraction,source_rb_fraction,source_gb_fraction,floor_fraction,restart_count,would_restart_count,ls_moves_per_ant,ls_checks_per_ant
C111,baseline,window,25,50.33150975957219,8.611581200031832,41.71992855954036,0.60240978125,1.0,0.0,0.0,0.0,0.1065,0.95275,1.18125,0.9600000000000002,0.039999999999999994,0.0,0.0,0.0,0.0,246.21848437500003,32905.18359375
C111,baseline,window,50,26.836493307840772,6.564223737322317,20.272269570518453,0.7852448125,1.0,0.0,0.0,0.0,1.1492499999999999,0.9755,1.0875,0.7999999999999999,0.19999999999999998,0.0,0.6151595525443554,0.0,0.0,124.7616171875,28056.6296875
C111,baseline,window,75,24.439349973011907,5.950203356570192,18.48914661644171,0.80633303125,1.0,0.0,0.0,0.0,2.0067500000000003,0.9844999999999999,1.05,0.7999999999999999,0.19999999999999998,0.0,0.7933279976248742,0.0,0.0,113.04453125,27353.70359375
C111,baseline,window,100,22.284914938905793,5.399701307979844,16.88521363092595,0.8264228906249999,1.0,0.0,0.0,0.0,4.35025,0.9804999999999999,1.0,0.6799999999999999,0.31999999999999995,0.0,0.8081683717668057,0.0,0.0,102.0345546875,26690.768906250003
C111,baseline,window,125,19.813038714534713,4.746964149078098,15.066074565456617,0.84950596875,0.9998750000000001,0.0,0.0,0.0,4.34175,0.9672499999999999,1.025,0.6799999999999999,0.31999999999999995,0.0,0.8252749036997556,0.0,0.0,89.3815390625,25907.689999999995
C111,baseline,window,150,16.59763158778646,3.92727506327695,12.67035652450951,0.8801824999999999,0.9981796875000001,0.0,0.0,0.0,5.2475,0.8969999999999999,1.6125,0.4800000000000001,0.5199999999999999,0.0,0.8427372228354215,0.0,0.0,72.4868984375,24857.9796875
C111,baseline,window,175,13.040172340488098,2.997052854237382,10.043119486250715,0.9141705625000001,0.9887578125,0.0,0.0,0.0,2.52275,0.75925,2.7875,0.5199999999999999,0.4800000000000001,0.0,0.8649503733962774,0.0,0.0,53.559945312500005,23643.8746875
C111,baseline,window,200,10.242594645013291,2.2172470038540504,8.02534764115924,0.9402515000000001,0.9721718750000001,0.0,0.0,0.0,2.80025,0.5587500000000001,4.79375,0.4800000000000001,0.5199999999999999,0.0,0.8800153225660324,0.0,0.0,38.72090625,22655.6521875
C111,baseline,window,225,8.071206343427919,1.6293263664707118,6.441879976957208,0.9589677812499999,0.9500468750000002,0.0,0.0,0.0,3.08425,0.36750000000000005,8.45625,0.5199999999999999,0.4800000000000001,0.0,0.8895889230072498,0.0,0.0,27.739796875000003,21913.825312499997
C111,baseline,window,250,6.690434223920006,1.2656563535507825,5.4247778703692235,0.9694820156249999,0.9227890625,0.0,0.0,0.0,5.32775,0.2205,14.9,0.4800000000000001,0.5199999999999999,0.0,0.8948632929474115,0.0,0.0,21.294984375,21464.0421875
C111,baseline,window,275,5.769740840532394,1.045269933948969,4.724470906583425,0.97575346875,0.9002343749999998,0.0,0.0,0.0,16.68775,0.07275000000000001,24.7625,0.039999999999999994,0.8867499999999999,0.07325000000000001,0.897558057308197,0.0,0.0,17.2541796875,21175.11671875
