condition,model,events,instances_with_events,solves_with_events,valid_events_25,valid_instances_25,conditional_change_25_pp,valid_events_100,valid_instances_100,conditional_change_100_pp,valid_events_500,valid_instances_500,conditional_change_500_pp
C111,baseline,1106,32,160,1077,32,0.0,1077,32,0.0,970,32,-0.027630924114046544
C111,81001,1153,32,160,1128,32,0.0,1128,32,-0.0004042987010119708,1034,32,-0.026319792737539614
C111,81002,1193,32,160,1170,32,0.0,1170,32,-0.002181718038093971,1062,32,-0.032737847918434135
C111,81003,1149,32,160,1121,32,0.0,1121,32,-1.4066014301727114e-05,1031,32,-0.024339359953091243
C110,baseline,400,26,116,392,26,0.0,392,26,0.0,352,26,-0.003659793932481742
C110,81001,987,32,160,971,32,0.0,971,32,-0.00029079347049993395,871,32,-0.02155102400659093
C110,81002,1073,32,160,1051,32,0.0,1051,32,-0.003106090277586176,959,32,-0.03255011650515538
C110,81003,967,32,160,951,32,0.0,951,32,-0.0004391747992425738,875,32,-0.027225385823245563
C101,baseline,1278,32,160,1268,32,0.0,1268,32,-0.0004689630595676884,1150,32,-0.0586817394480995
C101,81001,1307,32,160,1290,32,0.0,1290,32,-0.00571778438946308,1171,32,-0.055604495695818795
C101,81002,1329,32,160,1299,32,0.0,1299,32,-0.01282664298572278,1203,32,-0.05753977903698567
C101,81003,1322,32,160,1293,32,0.0,1293,32,-0.006458782651496007,1191,32,-0.058585611864970036
C100,baseline,852,32,148,830,32,0.0,830,32,0.0,753,31,-0.01742978387169012
C100,81001,1627,32,160,1588,32,0.0,1588,32,-0.005026423155916471,1455,32,-0.02979071968866075
C100,81002,1777,32,160,1749,32,0.0,1749,32,-0.012875871957197749,1600,32,-0.03990114890882972
C100,81003,1599,32,160,1563,32,0.0,1563,32,-0.003096385401017225,1430,32,-0.0333406044397385
C011,baseline,0,0,0,0,0,,0,0,,0,0,
C011,81001,0,0,0,0,0,,0,0,,0,0,
C011,81002,0,0,0,0,0,,0,0,,0,0,
C011,81003,0,0,0,0,0,,0,0,,0,0,
C010,baseline,0,0,0,0,0,,0,0,,0,0,
C010,81001,0,0,0,0,0,,0,0,,0,0,
C010,81002,0,0,0,0,0,,0,0,,0,0,
C010,81003,0,0,0,0,0,,0,0,,0,0,
C001,baseline,0,0,0,0,0,,0,0,,0,0,
C001,81001,0,0,0,0,0,,0,0,,0,0,
C001,81002,0,0,0,0,0,,0,0,,0,0,
C001,81003,0,0,0,0,0,,0,0,,0,0,
C000,baseline,0,0,0,0,0,,0,0,,0,0,
C000,81001,0,0,0,0,0,,0,0,,0,0,
C000,81002,0,0,0,0,0,,0,0,,0,0,
C000,81003,0,0,0,0,0,,0,0,,0,0,
